"var","categoria","Sergio Massa a presidente por Unión por la Patria.","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Los candidatos a presidente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"P05","Mucho",0.313,0.241,0.215,0.19,0.209,0.223
"P05","Bastante",0.385,0.331,0.409,0.529,0.198,0.282
"P05","Poco",0.175,0.316,0.286,0.031,0.27,0.193
"P05","Nada",0.09,0.057,0.09,0.114,0.11,0.302
"P05","No sabe",0.037,0.055,0,0.136,0.213,0
"P06","Siempre",0.181,0.116,0.094,0.033,0.288,0.143
"P06","Casi siempre",0.392,0.304,0.251,0.554,0.121,0.477
"P06","Casi nunca",0.282,0.493,0.505,0.075,0.323,0.028
"P06","Nunca, pero esta es una excepción",0.145,0.087,0.15,0.338,0.268,0.352
"P10","Unión por la Patria",0.525,0.153,0.188,0.037,0.117,0
"P10","Juntos por el Cambio",0.12,0.486,0.1,0,0.071,0
"P10","De los Liberales libertarios",0.044,0.074,0.575,0.009,0,0
"P10","De la Izquierda",0.081,0.047,0.019,0.827,0,0.175
"P10","Hacemos por nuestro país",0.003,0.041,0.019,0.009,0.173,0
"P10","En blanco",0.076,0.011,0,0,0.01,0.825
"P10","No sabe",0.151,0.188,0.099,0.118,0.629,0
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.824,0.159,0.13,0.058,0.012,0
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.13,0.602,0.106,0,0.32,0
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.02,0.113,0.699,0.106,0,0
"P13_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.016,0.053,0.015,0.055,0.253,0.098
"P13_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.003,0.008,0.02,0.781,0.015,0
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.005,0.019,0.023,0,0.348,0
"P13_imputada","En blanco",0.002,0.046,0.007,0,0.052,0.902
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.8,0.388,0.173,0.391,0.716,0.594
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.064,0.481,0.238,0,0.224,0.097
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.089,0.099,0.507,0,0,0
"P20_imputada","El candidato a gobernador de la Izquierda",0.003,0.032,0.019,0.609,0,0
"P20_imputada","En blanco",0.044,0,0.063,0,0.06,0.309
"P23_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.363,0.35,0.216,0.194,0.148,0.613
"P23_imputada","Zencich a intendente por Juntos por el Cambio",0.149,0.244,0.206,0,0.202,0
"P23_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.092,0.08,0.405,0.016,0,0.034
"P23_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.112,0.222,0.101,0.02,0.041,0.086
"P23_imputada","El candidato a intendente de la Izquierda",0.193,0.084,0.011,0.77,0.167,0.157
"P23_imputada","En blanco",0.091,0.02,0.061,0,0.442,0.11
"P26","Totalmente seguro.",0.675,0.433,0.693,0.697,0.83,0.653
"P26","Bastante seguro",0.13,0.26,0.133,0.062,0.017,0
"P26","Algo seguro",0.05,0.127,0.147,0.062,0.052,0
"P26","Para nada seguro",0.145,0.18,0.027,0.179,0.101,0.347
"P27","Tiene Decidido que va a ir a votar.",0.836,0.93,0.857,0.823,0.542,0.744
"P27","Tiene dudas sobre si va a ir a  votar",0.121,0.052,0.12,0.16,0.458,0.256
"P27","Tiene Decidido que no va a ir a votar",0.043,0.018,0.023,0.017,0,0
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.258,0.506,0.695,0.042,0.734,0.117
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.205,0.13,0.209,0.052,0.097,0.019
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.305,0.138,0.062,0.151,0.13,0.696
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.092,0.012,0.004,0.401,0.039,0.168
"P28","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.09,0.057,0.011,0.354,0,0
"P28","No sabe",0.05,0.157,0.019,0,0,0
"P29","No estaba enterado del tema",0.029,0.135,0.089,0,0,0
"P29","Un tema de la vida privada de él",0.054,0.058,0.088,0.252,0.266,0.658
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.496,0.171,0.198,0.396,0.09,0
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.163,0.353,0.171,0.082,0.013,0
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.142,0.272,0.44,0.219,0.631,0.17
"P29","No sabe",0.116,0.011,0.014,0.051,0,0.172
"P30","Si",0.811,0.786,0.846,0.748,0.447,0.848
"P30","No",0.189,0.214,0.154,0.252,0.553,0.152
"P31","Sergio Massa",0.498,0.107,0.063,0.105,0.101,0
"P31","Patria Bullrich",0.046,0.334,0.047,0,0.31,0.093
"P31","Javier Milei",0.053,0.277,0.82,0.047,0,0.015
"P31","Myriam Bregman",0.373,0.142,0.053,0.824,0.341,0.149
"P31","Juan Schiaretti",0.03,0.14,0.017,0.024,0.248,0.743
"P32","Ha aumentado significativamente",0.163,0.003,0.01,0.015,0.286,0
"P32","Ha aumentado ligeramente",0.22,0.094,0.231,0.268,0.05,0.743
"P32","Se mantiene igual",0.298,0.639,0.364,0.56,0.183,0.093
"P32","Ha disminuido ligeramente",0.069,0.143,0.215,0.047,0.22,0
"P32","Ha disminuido significativamente",0.25,0.121,0.18,0.11,0.261,0.164
"P33","No, ninguna dificultad",0.347,0.239,0.092,0.431,0.346,0
"P33","Alguna dificultad ocasional",0.382,0.471,0.494,0.464,0.37,0.886
"P33","Sí, dificultades frecuentes",0.271,0.29,0.414,0.105,0.284,0.114
"P34","Sí, absolutamente",0.628,0.566,0.295,0.345,0.577,0.977
"P34","Sí, en cierta medida",0.348,0.309,0.401,0.655,0.401,0.023
"P34","No, en absoluto",0.024,0.125,0.304,0,0.022,0
"P35","Reducir la inflación",0.358,0.377,0.235,0.635,0.415,0.027
"P35","Implementar reformas fiscales",0.147,0.066,0.069,0,0,0
"P35","Establecer políticas de control de precios",0.182,0.157,0.109,0.218,0.301,0.198
"P35","Reducir el gasto público",0.119,0.335,0.576,0.147,0.264,0.775
"P35","Estimular la inversión extranjera",0.1,0.065,0.011,0,0.02,0
"P35","Aumentar los subsidios a los servicios públicos",0.094,0,0,0,0,0
"P36","Muy positiva",0.177,0.054,0.042,0.598,0,0
"P36","Positiva",0.176,0.128,0.17,0.066,0.149,0.801
"P36","Neutral",0.219,0.512,0.246,0.223,0.276,0.199
"P36","Algo negativa",0.002,0.04,0.273,0,0.032,0
"P36","Negativa",0.13,0.108,0.031,0,0.275,0
"P36","No sabe",0.296,0.158,0.238,0.113,0.268,0
"P37","Muy positiva",0.478,0.384,0.379,0.719,0.157,0
"P37","Positiva",0.211,0.27,0.175,0.216,0.232,0
"P37","Neutral",0.132,0.225,0.137,0.065,0.172,0.805
"P37","Algo negativa",0.016,0.061,0.059,0,0.276,0.027
"P37","Negativa",0.012,0.032,0.16,0,0,0
"P37","No sabe",0.151,0.028,0.09,0,0.163,0.168
"P38","Muy positiva",0.266,0.088,0.124,0.663,0.144,0
"P38","Positiva",0.276,0.133,0.047,0.085,0.04,0
"P38","Neutral",0.166,0.547,0.438,0.2,0.587,1
"P38","Algo negativa",0.06,0.108,0.131,0,0,0
"P38","Negativa",0.077,0.06,0.084,0,0.152,0
"P38","No sabe",0.155,0.064,0.176,0.052,0.077,0
"P39","Muy positiva",0.592,0.134,0.299,0.453,0.425,0.03
"P39","Positiva",0.2,0.333,0.084,0.344,0.033,0.844
"P39","Neutral",0.086,0.346,0.509,0.203,0.408,0.126
"P39","Algo negativa",0.068,0.057,0.048,0,0.134,0
"P39","Negativa",0.006,0.095,0.06,0,0,0
"P39","No sabe",0.048,0.035,0,0,0,0
"P40","Muy positiva",0.451,0.442,0.221,0.516,0.36,0.844
"P40","Positiva",0.231,0.151,0.25,0.38,0.174,0.03
"P40","Neutral",0.066,0.232,0.401,0.104,0.312,0.126
"P40","Algo negativa",0.02,0.061,0.003,0,0.154,0
"P40","Negativa",0.069,0.079,0.108,0,0,0
"P40","No sabe",0.163,0.035,0.017,0,0,0
"P41","Lo votaría",0.516,0.064,0.047,0.165,0,0
"P41","Puede que lo vote",0.204,0.077,0.059,0.383,0.265,0
"P41","Nunca lo votaría",0.117,0.678,0.883,0.452,0.337,1
"P41","No sabe",0.163,0.181,0.011,0,0.398,0
"P42","Lo votaría",0.07,0.452,0.171,0,0.226,0
"P42","Puede que lo vote",0.035,0.136,0.264,0,0,0
"P42","Nunca lo votaría",0.711,0.241,0.53,1,0.338,0.97
"P42","No sabe",0.184,0.171,0.035,0,0.436,0.03
"P43","Lo votaría",0.022,0.193,0.624,0,0,0
"P43","Puede que lo vote",0.043,0.193,0.194,0,0,0
"P43","Nunca lo votaría",0.929,0.427,0.106,1,0.603,0.97
"P43","No sabe",0.006,0.187,0.076,0,0.397,0.03
"P44","Lo votaría",0.132,0.106,0.242,0.316,0,0
"P44","Puede que lo vote",0.179,0.097,0.145,0,0.267,0
"P44","Nunca lo votaría",0.55,0.576,0.545,0.684,0.54,1
"P44","No sabe",0.139,0.221,0.068,0,0.193,0
"P45","Si",0.542,0.285,0.407,0.705,0.273,0
"P45","No",0.458,0.715,0.593,0.295,0.727,1
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",1,0,0,0,0,0
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0,1,0,0,0,0
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0,0,1,0,0,0
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0,0,0,1,0,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0,0,0,1,0
"PRESIDENTE_imputada","En blanco",0,0,0,0,0,1
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.8,0.388,0.173,0.391,0.716,0.594
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.064,0.481,0.238,0,0.224,0.097
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.089,0.099,0.507,0,0,0
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.003,0.032,0.019,0.609,0,0
"GOBERNADOR_imputada","En blanco",0.044,0,0.063,0,0.06,0.309
"INTENDENTE_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.363,0.35,0.216,0.194,0.148,0.613
