"var","categoria","Gustavo Menéndez a intendente por Unión por la Patria.","Zencich a intendente por Juntos por el Cambio","Eduardo Varela a intendente por la Libertad Avanza","Raul Othacehé a intendente por el frente vecinal crecer","El candidato a intendente de la Izquierda","En blanco"
"P05","Mucho",0.371,0.373,0.417,0.169,0.232,0.123
"P05","Bastante",0.293,0.286,0.41,0.385,0.41,0.201
"P05","Poco",0.175,0.231,0.111,0.271,0.249,0.27
"P05","Nada",0.125,0.1,0.042,0.076,0.064,0.26
"P05","No sabe",0.036,0.01,0.02,0.099,0.045,0.146
"P06","Siempre",0.211,0.219,0.225,0.108,0.121,0.083
"P06","Casi siempre",0.279,0.347,0.266,0.151,0.547,0.24
"P06","Casi nunca",0.37,0.249,0.394,0.649,0.207,0.253
"P06","Nunca, pero esta es una excepción",0.14,0.185,0.115,0.092,0.125,0.424
"P10","Unión por la Patria",0.67,0.104,0.1,0.214,0.252,0.132
"P10","Juntos por el Cambio",0.071,0.752,0.061,0.279,0.118,0.03
"P10","De los Liberales libertarios",0.021,0.055,0.741,0.206,0.01,0.009
"P10","De la Izquierda",0.008,0.011,0.038,0.197,0.341,0.005
"P10","Hacemos por nuestro país",0.009,0.02,0.004,0.037,0.003,0.013
"P10","En blanco",0.032,0.015,0.014,0.052,0.124,0.527
"P10","No sabe",0.189,0.043,0.042,0.015,0.152,0.284
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.904,0.075,0.076,0.201,0.361,0.361
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.014,0.832,0.025,0.36,0.084,0.079
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.056,0.044,0.892,0.199,0.02,0.066
"P13_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.002,0.012,0.001,0.223,0.018,0.007
"P13_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.002,0.011,0,0,0.416,0
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.005,0.025,0.004,0.013,0.003,0.356
"P13_imputada","En blanco",0.017,0.001,0.002,0.004,0.098,0.131
"P16","Si",0.314,0.346,0.29,0.983,0.805,0.697
"P16","No",0.686,0.654,0.71,0.017,0.195,0.303
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.461,0.329,0.207,0.358,0.523,0.431
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.221,0.268,0.09,0.352,0.113,0.047
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.208,0.346,0.694,0.245,0.023,0.218
"P17_imputada","Los candidatos a presidente de la Izquierda",0.03,0,0.004,0.008,0.253,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.024,0.057,0,0.017,0.058,0.267
"P17_imputada","En blanco",0.056,0,0.005,0.02,0.03,0.037
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.682,0.337,0.232,0.4,0.684,0.727
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.084,0.583,0.202,0.353,0,0.017
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.156,0.076,0.561,0.202,0.094,0.005
"P20_imputada","El candidato a gobernador de la Izquierda",0.008,0,0,0.033,0.192,0.007
"P20_imputada","En blanco",0.07,0.004,0.005,0.012,0.03,0.244
"P23_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",1,0,0,0,0,0
"P23_imputada","Zencich a intendente por Juntos por el Cambio",0,1,0,0,0,0
