"var","categoria","Gustavo Menéndez a intendente por Unión por la Patria.","Zencich a intendente por Juntos por el Cambio","Eduardo Varela a intendente por la Libertad Avanza","Raul Othacehé a intendente por el frente vecinal crecer","El candidato a intendente de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.325,0.425,0.263,0.168,0.188,0.183,0.1
"P05","Bastante",0.335,0.275,0.405,0.344,0.447,0.196,0.477
"P05","Poco",0.274,0.25,0.174,0.321,0.235,0.378,0.076
"P05","Nada",0.06,0.042,0.111,0.065,0.065,0.243,0.197
"P05","No sabe",0.006,0.008,0.047,0.102,0.065,0,0.15
"P06","Siempre",0.132,0.172,0.227,0.126,0.036,0.061,0.024
"P06","Casi siempre",0.324,0.405,0.243,0.173,0.62,0.44,0.209
"P06","Casi nunca",0.398,0.304,0.425,0.627,0.207,0.162,0.43
"P06","Nunca, pero esta es una excepción",0.146,0.119,0.105,0.074,0.137,0.337,0.337
"P10","Unión por la Patria",0.586,0.242,0.034,0.198,0.384,0.164,0.177
"P10","Juntos por el Cambio",0.085,0.477,0.057,0.323,0.134,0.058,0.058
"P10","De los Liberales libertarios",0.079,0.17,0.746,0.236,0.009,0.008,0.039
"P10","De la Izquierda",0.023,0.017,0.104,0.159,0.317,0.01,0
"P10","Hacemos por nuestro país",0.047,0.026,0.021,0.03,0,0,0.018
"P10","En blanco",0.095,0.007,0.006,0.035,0,0.441,0.01
"P10","No sabe",0.085,0.061,0.032,0.019,0.156,0.319,0.698
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.633,0.211,0.128,0.178,0.444,0.491,0.19
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.062,0.451,0.087,0.46,0.064,0.059,0.052
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.169,0.114,0.747,0.236,0.003,0.3,0.042
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.01,0.022,0,0.107,0.024,0.016,0
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.018,0.024,0,0,0.245,0,0
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.02,0.044,0.021,0.008,0.004,0.03,0.018
"P13","En blanco",0.074,0.004,0.006,0,0.031,0.052,0.016
"P13","No sabe",0.014,0.13,0.011,0.011,0.185,0.052,0.682
"P17","Sergio Massa a presidente por Unión por la Patria.",0.484,0.313,0.128,0.371,0.512,0.529,0.168
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.183,0.246,0.098,0.348,0.116,0.059,0.055
"P17","Javier Milei a presidente por la Libertad Avanza",0.228,0.378,0.768,0.229,0.024,0.308,0.064
"P17","Los candidatos a presidente de la Izquierda",0.009,0,0,0.008,0.258,0,0.057
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.019,0.063,0,0.013,0.059,0,0.018
"P17","En blanco",0.067,0,0.006,0.02,0.031,0.052,0
"P17","No sabe",0.01,0,0,0.011,0,0.052,0.638
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.703,0.322,0.151,0.414,0.692,0.532,0.239
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.087,0.574,0.186,0.33,0,0.016,0.071
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.189,0.084,0.63,0.188,0.081,0.008,0.021
"P20","El candidato a gobernador de la Izquierda",0.01,0,0,0.035,0.196,0.01,0
"P20","En blanco",0.006,0.004,0.006,0,0.031,0.044,0.017
"P20","No sabe",0.005,0.016,0.027,0.033,0,0.39,0.652
"P26","Totalmente seguro.",0.569,0.697,0.781,0.566,0.846,0.569,0.402
"P26","Bastante seguro",0.165,0.182,0.128,0.23,0.022,0.371,0.018
"P26","Algo seguro",0.157,0.061,0.083,0.117,0.099,0,0.031
"P26","Para nada seguro",0.109,0.06,0.008,0.087,0.033,0.06,0.549
"P27","Tiene Decidido que va a ir a votar.",0.857,0.86,0.824,0.822,0.924,0.884,0.719
"P27","Tiene dudas sobre si va a ir a  votar",0.103,0.114,0.145,0.178,0.029,0.116,0.261
"P27","Tiene Decidido que no va a ir a votar",0.04,0.026,0.031,0,0.047,0,0.02
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.428,0.512,0.656,0.525,0.183,0.446,0.333
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.078,0.252,0.248,0.062,0.182,0.018,0.35
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.333,0.194,0.075,0.176,0.32,0.126,0.026
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.105,0.029,0.015,0.009,0.074,0.138,0.056
"P28","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.054,0,0,0.207,0.183,0.009,0.004
"P28","No sabe",0.002,0.013,0.006,0.021,0.058,0.263,0.231
"P29","No estaba enterado del tema",0.101,0.062,0.002,0.136,0.076,0.038,0.008
"P29","Un tema de la vida privada de él",0.172,0.017,0.154,0.046,0.068,0.03,0.071
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.407,0.296,0.201,0.235,0.493,0.598,0.028
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.064,0.349,0.132,0.248,0.122,0.017,0.404
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.239,0.27,0.498,0.335,0.105,0.082,0.323
"P29","No sabe",0.017,0.006,0.013,0,0.136,0.235,0.166
"P30","Si",0.716,0.891,0.964,0.759,0.689,0.984,0.68
"P30","No",0.284,0.109,0.036,0.241,0.311,0.016,0.32
"P31","Sergio Massa",0.43,0.291,0.074,0.152,0.325,0.355,0.005
"P31","Patria Bullrich",0.032,0.208,0.109,0.233,0,0.115,0.15
"P31","Javier Milei",0.209,0.298,0.758,0.236,0.257,0.371,0.034
"P31","Myriam Bregman",0.153,0.134,0.017,0.305,0.414,0.159,0.789
"P31","Juan Schiaretti",0.176,0.069,0.042,0.074,0.004,0,0.022
"P32","Ha aumentado significativamente",0.153,0.053,0.007,0.004,0.134,0.236,0.006
