"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza","Raul Othacehé a intendente por el frente vecinal crecer","Los candidatos a presidente, gobernador e intendente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P05","Mucho",0.38,0.3,0.368,0.133,0.368,0.454,0.274,0.249
"P05","Bastante",0.319,0.291,0.414,0.43,0.444,0.105,0.128,0.266
"P05","Poco",0.17,0.257,0.153,0.25,0.153,0.023,0.342,0.214
"P05","Nada",0.097,0.102,0.063,0.116,0.018,0.376,0.182,0.183
"P05","No sabe",0.034,0.05,0.002,0.071,0.017,0.042,0.074,0.088
"P06","Siempre",0.226,0.205,0.185,0.317,0.186,0.139,0.165,0.071
"P06","Casi siempre",0.309,0.334,0.245,0.186,0.435,0.159,0.215,0.226
"P06","Casi nunca",0.353,0.291,0.418,0.371,0.252,0.334,0.287,0.374
"P06","Nunca, pero esta es una excepción",0.112,0.17,0.152,0.126,0.127,0.368,0.333,0.329
"P10","Unión por la Patria",0.728,0.044,0.124,0.125,0.025,0.011,0,0.098
"P10","Juntos por el Cambio",0.097,0.824,0.055,0.061,0,0.231,0.23,0.05
"P10","De los Liberales libertarios",0.024,0.049,0.745,0.044,0.045,0.018,0,0.027
"P10","De la Izquierda",0.015,0.047,0.014,0.32,0.663,0.008,0.074,0.018
"P10","Hacemos por nuestro país",0.002,0.024,0,0.028,0.028,0.212,0,0
"P10","En blanco",0.046,0.005,0.013,0.103,0.219,0.51,0.582,0.028
"P10","No sabe",0.088,0.007,0.049,0.319,0.02,0.01,0.114,0.779
"P16","Si",0.396,0.361,0.4,0.957,0.668,0.464,0.862,0.774
"P16","No",0.604,0.639,0.6,0.043,0.332,0.536,0.138,0.226
"P17","Sergio Massa a presidente por Unión por la Patria.",0.843,0.179,0.034,0.148,0.025,0.094,0.018,0.117
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.033,0.616,0.096,0.183,0.033,0.178,0.024,0.085
"P17","Javier Milei a presidente por la Libertad Avanza",0.112,0.127,0.87,0.085,0.124,0.33,0.056,0.106
"P17","Los candidatos a presidente de la Izquierda",0.007,0,0,0.065,0.798,0,0,0.044
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.076,0,0.384,0.02,0.398,0.096,0.022
"P17","En blanco",0,0,0,0.069,0,0,0.768,0
"P17","No sabe",0.005,0.002,0,0.066,0,0,0.038,0.626
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.805,0.303,0.198,0.417,0.265,0.335,0.541,0.196
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.059,0.626,0.13,0.239,0,0.262,0.023,0.091
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.125,0.031,0.584,0.017,0.123,0,0,0.07
"P20","El candidato a gobernador de la Izquierda",0.003,0.02,0.014,0.196,0.595,0.021,0,0.021
"P20","En blanco",0,0,0.003,0,0.017,0.057,0.305,0
"P20","No sabe",0.008,0.02,0.071,0.131,0,0.325,0.131,0.622
"P23","Gustavo Menéndez a intendente por Unión por la Patria.",0.46,0.09,0.188,0.113,0.105,0.241,0.633,0.026
"P23","Zencich a intendente por Juntos por el Cambio",0.097,0.415,0.08,0.152,0.091,0.342,0.019,0.151
"P23","Eduardo Varela a intendente por la Libertad Avanza",0.057,0.077,0.507,0,0,0.156,0.032,0.012
"P23","Raul Othacehé a intendente por el frente vecinal crecer",0.06,0.311,0.123,0.546,0,0.047,0,0.01
"P23","El candidato a intendente de la Izquierda",0.179,0.052,0.002,0.147,0.804,0.024,0.147,0.187
"P23","En blanco",0.082,0.02,0.077,0.042,0,0.086,0.103,0.022
"P23","No sabe",0.065,0.035,0.023,0,0,0.104,0.066,0.592
"P26","Totalmente seguro.",0.713,0.618,0.744,0.371,0.558,0.205,0.458,0.254
"P26","Bastante seguro",0.161,0.31,0.155,0.273,0.323,0.454,0,0.039
"P26","Algo seguro",0.063,0.037,0.073,0.139,0.072,0,0,0.117
"P26","Para nada seguro",0.063,0.035,0.028,0.217,0.047,0.341,0.542,0.59
"P27","Tiene Decidido que va a ir a votar.",0.928,0.9,0.884,0.936,0.969,0.465,0.43,0.639
"P27","Tiene dudas sobre si va a ir a  votar",0.048,0.088,0.081,0,0,0.535,0.293,0.35
"P27","Tiene Decidido que no va a ir a votar",0.024,0.012,0.035,0.064,0.031,0,0.277,0.011
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.163,0.628,0.746,0.558,0.1,0.558,0.194,0.399
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.159,0.228,0.104,0.176,0.045,0.195,0.015,0.137
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.396,0.05,0.02,0.079,0.101,0.247,0.47,0.085
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.127,0.007,0.013,0.016,0.121,0,0.162,0.086
"P28","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.06,0.06,0.067,0.171,0.611,0,0,0.098
"P28","No sabe",0.095,0.027,0.05,0,0.022,0,0.159,0.195
