"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza","Raul Othacehé a intendente por el frente vecinal crecer","Los candidatos a presidente, gobernador e intendente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"P05","Mucho",0.377,0.295,0.36,0.139,0.363,0.356,0.242
"P05","Bastante",0.315,0.299,0.412,0.427,0.439,0.082,0.106
"P05","Poco",0.17,0.254,0.149,0.248,0.151,0.018,0.438
"P05","Nada",0.106,0.103,0.074,0.115,0.03,0.308,0.152
"P05","No sabe",0.032,0.049,0.005,0.071,0.017,0.236,0.062
"P06","Siempre",0.214,0.193,0.184,0.315,0.193,0.109,0.151
"P06","Casi siempre",0.293,0.338,0.254,0.191,0.43,0.125,0.263
"P06","Casi nunca",0.363,0.301,0.403,0.369,0.249,0.262,0.308
"P06","Nunca, pero esta es una excepción",0.13,0.168,0.159,0.125,0.128,0.504,0.278
"P10","Unión por la Patria",0.665,0.057,0.127,0.124,0.025,0.008,0
"P10","Juntos por el Cambio",0.091,0.768,0.053,0.06,0,0.175,0.198
"P10","De los Liberales libertarios",0.022,0.052,0.712,0.053,0.044,0.013,0.01
"P10","De la Izquierda",0.014,0.046,0.018,0.317,0.656,0.006,0.063
"P10","Hacemos por nuestro país",0.002,0.022,0,0.027,0.028,0.161,0
"P10","En blanco",0.043,0.01,0.012,0.102,0.216,0.396,0.499
"P10","No sabe",0.163,0.045,0.078,0.317,0.031,0.241,0.23
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.811,0.225,0.032,0.145,0.025,0.056,0.015
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.081,0.539,0.092,0.244,0.033,0.107,0.219
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.099,0.143,0.854,0.103,0.124,0.198,0.047
"P17_imputada","Los candidatos a presidente de la Izquierda",0.007,0,0.022,0.064,0.798,0,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.002,0.093,0,0.376,0.02,0.639,0.08
"P17_imputada","En blanco",0,0,0,0.068,0,0,0.639
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.786,0.365,0.212,0.404,0.265,0.662,0.44
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.053,0.591,0.142,0.39,0,0.264,0.112
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.116,0.028,0.554,0.016,0.123,0,0.205
"P20_imputada","El candidato a gobernador de la Izquierda",0.003,0.016,0.023,0.19,0.595,0.012,0
"P20_imputada","En blanco",0.042,0,0.069,0,0.017,0.062,0.243
"P23_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.505,0.077,0.223,0.108,0.105,0.172,0.501
"P23_imputada","Zencich a intendente por Juntos por el Cambio",0.098,0.473,0.08,0.146,0.091,0.185,0.014
"P23_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.093,0.063,0.484,0.039,0,0.084,0.023
"P23_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.056,0.251,0.126,0.525,0,0.039,0.012
"P23_imputada","El candidato a intendente de la Izquierda",0.164,0.097,0.014,0.142,0.804,0.013,0.374
"P23_imputada","En blanco",0.084,0.039,0.073,0.04,0,0.507,0.076
"P26","Totalmente seguro.",0.662,0.6,0.716,0.382,0.554,0.426,0.332
"P26","Bastante seguro",0.151,0.285,0.155,0.268,0.321,0.323,0.014
"P26","Algo seguro",0.06,0.038,0.077,0.137,0.071,0,0.222
"P26","Para nada seguro",0.127,0.077,0.052,0.213,0.054,0.251,0.432
"P27","Tiene Decidido que va a ir a votar.",0.913,0.882,0.869,0.937,0.97,0.329,0.591
"P27","Tiene dudas sobre si va a ir a  votar",0.064,0.107,0.097,0,0,0.661,0.21
"P27","Tiene Decidido que no va a ir a votar",0.023,0.011,0.034,0.063,0.03,0.01,0.199
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.183,0.618,0.713,0.566,0.099,0.673,0.144
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.17,0.214,0.099,0.173,0.045,0.14,0.01
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.363,0.068,0.026,0.078,0.1,0.177,0.313
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.117,0.011,0.033,0.015,0.12,0,0.107
