"var","categoria","Si, se debería cobrar a las viviendas que no son habitadas por sus dueños o sus familiares y tampoco son puestas en alquiler","No, no se debería cobrar nada","No sabe"
"P04","Horacio Rodríguez Larreta por Juntos por el Cambio",0.075,0.079,0.099
"P04","Patricia Bullrich por Juntos por el Cambio",0.075,0.329,0.189
"P04","Facundo Manes por Juntos por el Cambio",0.032,0.035,0.016
"P04","Alberto Fernández por el Frente de Todos",0.085,0.055,0.061
"P04","Sergio Massa por el Frente de Todos",0.101,0.076,0.075
"P04","Wado de Pedro por el Frente de Todos",0.267,0.04,0.116
"P04","Daniel Scioli por el Frente de Todos",0.113,0.028,0.098
"P04","Javier Milei por los liberales libertarios",0.062,0.273,0.19
"P04","Al candidato del Frente de Izquierda",0.039,0.014,0.005
"P04","No sabe",0.151,0.071,0.151
"P06","Si, es una vivienda alquilada",0.341,0.25,0.29
"P06","No, no es una vivienda alquilada",0.659,0.75,0.71
"P07","Mejor que la ley anterior",0.156,0.06,0.057
"P07","Igual que la ley anterior",0.199,0.18,0.171
"P07","Peor que la ley anterior",0.301,0.482,0.299
"P07","No sabe",0.344,0.278,0.473
"P08","Que el estado no hace cumplir la actual ley de alquiler",0.237,0.089,0.069
"P08","La ley actual no le brinda a los propietarios las garantías e incentivos para poner las viviendas en alquiler",0.128,0.319,0.127
"P08","Por ambas razones",0.349,0.4,0.344
"P08","No sabe",0.286,0.192,0.46
"P09","Los inquilinos",0.35,0.226,0.094
"P09","Los propietarios",0.122,0.081,0.01
"P09","A ambos, propietarios e inquilinos",0.204,0.331,0.337
"P09","A ninguno",0.124,0.204,0.183
"P09","No sabe",0.2,0.158,0.376
