"var","categoria","Que el estado no hace cumplir la actual ley de alquiler","La ley actual no le brinda a los propietarios las garantías e incentivos para poner las viviendas en alquiler","Por ambas razones","No sabe"
"P04","Horacio Rodríguez Larreta por Juntos por el Cambio",0.051,0.089,0.084,0.078
"P04","Patricia Bullrich por Juntos por el Cambio",0.147,0.336,0.239,0.171
"P04","Facundo Manes por Juntos por el Cambio",0.03,0.022,0.05,0.013
"P04","Alberto Fernández por el Frente de Todos",0.082,0.036,0.071,0.111
"P04","Sergio Massa por el Frente de Todos",0.102,0.075,0.075,0.094
"P04","Wado de Pedro por el Frente de Todos",0.206,0.051,0.098,0.149
"P04","Daniel Scioli por el Frente de Todos",0.04,0.052,0.072,0.063
"P04","Javier Milei por los liberales libertarios",0.191,0.287,0.183,0.131
"P04","Al candidato del Frente de Izquierda",0.036,0.007,0.022,0.019
"P04","No sabe",0.115,0.045,0.106,0.171
"P06","Si, es una vivienda alquilada",0.37,0.221,0.364,0.163
"P06","No, no es una vivienda alquilada",0.63,0.779,0.636,0.837
"P07","Mejor que la ley anterior",0.245,0.078,0.06,0.043
"P07","Igual que la ley anterior",0.191,0.265,0.165,0.15
"P07","Peor que la ley anterior",0.284,0.502,0.52,0.174
"P07","No sabe",0.28,0.155,0.255,0.633
"P09","Los inquilinos",0.525,0.193,0.227,0.151
"P09","Los propietarios",0.112,0.185,0.053,0.011
"P09","A ambos, propietarios e inquilinos",0.077,0.395,0.43,0.123
"P09","A ninguno",0.144,0.107,0.184,0.264
"P09","No sabe",0.142,0.12,0.106,0.451
"P10","Si, se debería cobrar a las viviendas que no son habitadas por sus dueños o sus familiares y tampoco son puestas en alquiler",0.522,0.153,0.26,0.31
"P10","No, no se debería cobrar nada",0.394,0.763,0.598,0.415
"P10","No sabe",0.084,0.084,0.142,0.275
