"var","categoria","Oponerse totalmente y no concurrir a la convocatoria","Oponerse parcialmente y concurrir a la convocatoria","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión","Apoyar totalmente la iniciativa del gobierno nacional","No sabe"
"P12","Gran excedente habitual",0.023,0.021,0.018,0.023,0.064
"P12","Gran excedente excepcional",0.001,0,0.003,0,0
"P12","Pequeño excedente habitual",0.018,0.031,0.045,0.083,0.005
"P12","Pequeño excedente excepcional",0.042,0.046,0.088,0.129,0.009
"P12","Alcanza gastos familia",0.073,0.118,0.213,0.202,0.053
"P12","No alcanza gastos familia",0.068,0.114,0.107,0.126,0.096
"P12","Solo NBFamiliares",0.263,0.302,0.309,0.295,0.278
"P12","No alcanza NBFamiliares",0.507,0.364,0.213,0.121,0.433
"P12","No sabe",0.005,0.004,0.004,0.021,0.062
"P13","Muy buena",0.119,0.091,0.024,0.043,0.137
"P13","Buena",0.187,0.244,0.11,0.072,0.277
"P13","Ni buena ni mala",0.274,0.377,0.267,0.195,0.314
"P13","Mala",0.24,0.211,0.373,0.377,0.128
"P13","Muy mala",0.161,0.074,0.22,0.289,0.11
"P13","No sabe",0.019,0.003,0.006,0.024,0.034
"P14","Muy buena",0.024,0.141,0.401,0.529,0.086
"P14","Buena",0.05,0.135,0.295,0.189,0.119
"P14","Ni buena ni mala",0.087,0.227,0.182,0.135,0.471
"P14","Mala",0.198,0.231,0.09,0.083,0.15
"P14","Muy mala",0.636,0.266,0.023,0.06,0.146
"P14","No sabe",0.005,0,0.009,0.004,0.028
"P19","Muy buena",0.126,0.109,0.046,0.048,0.116
"P19","Buena",0.236,0.284,0.126,0.069,0.229
"P19","Ni buena ni mala",0.272,0.391,0.368,0.268,0.351
"P19","Mala",0.149,0.134,0.304,0.327,0.082
"P19","Muy mala",0.198,0.059,0.144,0.286,0.182
"P19","No sabe",0.019,0.023,0.012,0.002,0.04
"P20","Gobierno nacional",0.561,0.364,0.075,0.068,0.306
"P20","Gobierno provincial",0.317,0.46,0.781,0.808,0.423
"P20","No sabe",0.122,0.176,0.144,0.124,0.271
"P21","El anterior gobierno de Arabela Carreras",0.4,0.348,0.394,0.303,0.459
"P21","El actual gobierno de Alberto Weretilneck",0.469,0.469,0.518,0.634,0.406
"P21","No sabe",0.131,0.183,0.088,0.063,0.135
"P22","El anterior gobierno de Alberto Fernández",0.13,0.295,0.714,0.822,0.071
"P22","El actual gobierno de Javier Milei",0.837,0.633,0.16,0,0.539
"P22","No sabe",0.033,0.072,0.126,0.178,0.39
"P23","Empleado sector publico",0.232,0.208,0.2,0.15,0.122
"P23","Empleado sector privado",0.196,0.261,0.248,0.291,0.252
"P23","Changas o trabajos eventuales",0.225,0.179,0.187,0.163,0.175
"P23","Estudiante",0.014,0.045,0.044,0.091,0.089
"P23","Amas de casa",0.084,0.067,0.066,0.066,0.08
"P23","Profesional o independiente",0.087,0.056,0.135,0.119,0.05
"P23","Comerciante, emprendedor o empresario",0.053,0.033,0.068,0.051,0.091
"P23","Trabajador informal",0.008,0.009,0.016,0.005,0.067
"P23","No tengo trabajo",0.101,0.142,0.036,0.064,0.074
"P24","Muy de acuerdo",0.244,0.177,0.175,0.154,0.365
"P24","De acuerdo",0.198,0.249,0.217,0.122,0.096
"P24","Ni de acuerdo ni en desacuerdo",0.3,0.346,0.341,0.342,0.263
"P24","En desacuerdo",0.114,0.164,0.13,0.233,0.093
"P24","Muy en desacuerdo",0.117,0.024,0.119,0.137,0.072
"P24","No sabe",0.027,0.04,0.018,0.012,0.111
"P25","Muy de acuerdo",0.043,0.029,0.13,0.294,0.106
"P25","De acuerdo",0.031,0.165,0.267,0.265,0.031
"P25","Ni de acuerdo ni en desacuerdo",0.068,0.171,0.366,0.207,0.257
"P25","En desacuerdo",0.633,0.491,0.172,0.133,0.414
"P25","Muy en desacuerdo",0.215,0.134,0.063,0.095,0.175
"P25","No sabe",0.01,0.01,0.002,0.006,0.017
"P26","Si",0.654,0.572,0.705,0.795,0.287
"P26","No",0.346,0.428,0.295,0.205,0.713
"P27","Muy de acuerdo",0.105,0.101,0.243,0.375,0.104
"P27","De acuerdo",0.077,0.233,0.3,0.216,0.193
"P27","Ni de acuerdo ni en desacuerdo",0.132,0.245,0.282,0.251,0.266
"P27","En desacuerdo",0.466,0.285,0.113,0.123,0.037
"P27","Muy en desacuerdo",0.219,0.125,0.06,0.033,0.252
"P27","No sabe",0.001,0.011,0.002,0.002,0.148
"P28","Si",0.641,0.596,0.778,0.779,0.33
"P28","No",0.359,0.404,0.222,0.221,0.67
"P29","Muy de acuerdo",0.104,0.152,0.249,0.465,0.167
"P29","De acuerdo",0.092,0.186,0.329,0.268,0.079
"P29","Ni de acuerdo ni en desacuerdo",0.115,0.28,0.304,0.156,0.244
"P29","En desacuerdo",0.472,0.253,0.049,0.053,0.202
"P29","Muy en desacuerdo",0.198,0.101,0.051,0.045,0.15
"P29","No sabe",0.019,0.028,0.018,0.013,0.158
"P30","No estaba enterado",0.306,0.355,0.25,0.248,0.523
"P30","De acuerdo",0.028,0.289,0.622,0.679,0.173
"P30","En desacuerdo",0.594,0.295,0.069,0.025,0.058
"P30","No sabe",0.072,0.061,0.059,0.048,0.246
"P31","No tengo cable ni internet",0.24,0.18,0.173,0.194,0.118
"P31","Si tuve",0.522,0.54,0.553,0.58,0.716
"P31","No tuve",0.238,0.28,0.274,0.226,0.166
"P32","Reclamando directamente a la empresa",0.292,0.278,0.278,0.291,0.14
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.39,0.325,0.343,0.301,0.58
"P32","Nunca se pudo resolver",0.318,0.397,0.379,0.408,0.28
"P33","1-Excelente",0.183,0.172,0.117,0.184,0.028
"P33","2",0.084,0.154,0.112,0.105,0.023
"P33","3",0.046,0.07,0.072,0.036,0.007
"P33","4",0.06,0.048,0.039,0.062,0.061
