"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P12","Gran excedente habitual",0.021,0.013,0.035,0.013,0.031,0.03
"P12","Gran excedente excepcional",0,0,0,0.004,0.002,0
"P12","Pequeño excedente habitual",0.02,0.024,0.057,0.058,0.029,0.052
"P12","Pequeño excedente excepcional",0.055,0.034,0.08,0.075,0.057,0.082
"P12","Alcanza gastos familia",0.111,0.122,0.151,0.098,0.137,0.08
"P12","No alcanza gastos familia",0.078,0.123,0.094,0.081,0.143,0.119
"P12","Solo NBFamiliares",0.266,0.359,0.242,0.269,0.236,0.157
"P12","No alcanza NBFamiliares",0.446,0.316,0.322,0.394,0.356,0.374
"P12","No sabe",0.003,0.009,0.019,0.008,0.009,0.106
"P13","Muy buena",0.178,0.057,0.054,0.047,0.06,0.165
"P13","Buena",0.202,0.272,0.145,0.125,0.045,0.109
"P13","Ni buena ni mala",0.297,0.294,0.355,0.296,0.091,0.218
"P13","Mala",0.218,0.272,0.268,0.336,0.345,0.236
"P13","Muy mala",0.094,0.088,0.144,0.184,0.459,0.118
"P13","No sabe",0.011,0.017,0.034,0.012,0,0.154
"P14","Muy buena",0.259,0.161,0.199,0.262,0.315,0.216
"P14","Buena",0.121,0.254,0.15,0.153,0.077,0.117
"P14","Ni buena ni mala",0.192,0.194,0.235,0.179,0.083,0.068
"P14","Mala",0.139,0.13,0.171,0.173,0.1,0.276
"P14","Muy mala",0.28,0.253,0.223,0.23,0.422,0.278
"P14","No sabe",0.009,0.008,0.022,0.003,0.003,0.045
"P19","Muy buena",0.222,0.067,0.058,0.093,0.031,0.126
"P19","Buena",0.23,0.315,0.163,0.095,0.07,0.094
"P19","Ni buena ni mala",0.265,0.3,0.433,0.313,0.16,0.314
"P19","Mala",0.157,0.193,0.195,0.341,0.247,0.158
"P19","Muy mala",0.12,0.105,0.117,0.146,0.491,0.188
"P19","No sabe",0.006,0.02,0.034,0.012,0.001,0.12
"P20","Gobierno nacional",0.384,0.317,0.263,0.243,0.175,0.309
"P20","Gobierno provincial",0.447,0.534,0.461,0.573,0.712,0.311
"P20","No sabe",0.169,0.149,0.276,0.184,0.113,0.38
"P21","El anterior gobierno de Arabela Carreras",0.466,0.353,0.334,0.393,0.178,0.175
"P21","El actual gobierno de Alberto Weretilneck",0.39,0.558,0.476,0.487,0.778,0.473
"P21","No sabe",0.144,0.089,0.19,0.12,0.044,0.352
"P22","El anterior gobierno de Alberto Fernández",0.368,0.216,0.273,0.323,0.104,0.254
"P22","El actual gobierno de Javier Milei",0.566,0.726,0.654,0.613,0.85,0.552
"P22","No sabe",0.066,0.058,0.073,0.064,0.046,0.194
"P23","Empleado sector publico",0.291,0.217,0.113,0.186,0.224,0.054
"P23","Empleado sector privado",0.222,0.335,0.207,0.197,0.219,0.102
"P23","Changas o trabajos eventuales",0.217,0.149,0.319,0.249,0.13,0.152
"P23","Estudiante",0.044,0.029,0.04,0.038,0.081,0.199
"P23","Amas de casa",0.059,0.037,0.068,0.095,0.115,0.156
"P23","Profesional o independiente",0.055,0.11,0.094,0.068,0.076,0.139
"P23","Comerciante, emprendedor o empresario",0.033,0.044,0.061,0.06,0.05,0.048
"P23","Trabajador informal",0.015,0.02,0.019,0.016,0.005,0.022
"P23","No tengo trabajo",0.064,0.059,0.079,0.091,0.1,0.128
"P25","Muy de acuerdo",0.216,0.06,0.103,0.129,0.127,0.122
"P25","De acuerdo",0.104,0.258,0.107,0.137,0.105,0.028
"P25","Ni de acuerdo ni en desacuerdo",0.179,0.19,0.308,0.127,0.097,0.08
"P25","En desacuerdo",0.413,0.396,0.368,0.465,0.243,0.378
"P25","Muy en desacuerdo",0.084,0.096,0.104,0.132,0.421,0.174
"P25","No sabe",0.004,0,0.01,0.01,0.007,0.218
"P26","Si",0.702,0.547,0.566,0.645,0.69,0.408
"P26","No",0.298,0.453,0.434,0.355,0.31,0.592
"P27","Muy de acuerdo",0.225,0.148,0.116,0.174,0.298,0.165
"P27","De acuerdo",0.168,0.292,0.187,0.165,0.115,0.055
"P27","Ni de acuerdo ni en desacuerdo",0.208,0.224,0.299,0.209,0.087,0.119
"P27","En desacuerdo",0.269,0.238,0.258,0.331,0.242,0.304
"P27","Muy en desacuerdo",0.118,0.082,0.134,0.108,0.258,0.179
"P27","No sabe",0.012,0.016,0.006,0.013,0,0.178
"P28","Si",0.678,0.664,0.575,0.674,0.711,0.389
"P28","No",0.322,0.336,0.425,0.326,0.289,0.611
"P29","Muy de acuerdo",0.265,0.126,0.182,0.278,0.259,0.167
"P29","De acuerdo",0.168,0.295,0.204,0.193,0.2,0.047
"P29","Ni de acuerdo ni en desacuerdo",0.189,0.233,0.259,0.157,0.133,0.083
"P29","En desacuerdo",0.259,0.214,0.204,0.273,0.172,0.201
"P29","Muy en desacuerdo",0.097,0.113,0.116,0.085,0.204,0.332
"P29","No sabe",0.022,0.019,0.035,0.014,0.032,0.17
"P30","No estaba enterado",0.335,0.272,0.371,0.302,0.199,0.441
"P30","De acuerdo",0.287,0.351,0.302,0.349,0.485,0.17
"P30","En desacuerdo",0.295,0.297,0.243,0.271,0.288,0.24
"P30","No sabe",0.083,0.08,0.084,0.078,0.028,0.149
"P31","No tengo cable ni internet",0.258,0.142,0.227,0.25,0.256,0.237
"P31","Si tuve",0.488,0.601,0.547,0.499,0.544,0.509
"P31","No tuve",0.254,0.257,0.226,0.251,0.2,0.254
"P32","Reclamando directamente a la empresa",0.283,0.335,0.317,0.275,0.305,0.387
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.325,0.312,0.366,0.354,0.406,0.426
"P32","Nunca se pudo resolver",0.392,0.353,0.317,0.371,0.289,0.187
"P33","1-Excelente",0.208,0.145,0.172,0.131,0.184,0.158
"P33","2",0.111,0.122,0.123,0.115,0.104,0.04
"P33","3",0.044,0.058,0.05,0.047,0.074,0.154
"P33","4",0.058,0.04,0.042,0.049,0.022,0.218
"P33","5",0.111,0.186,0.197,0.165,0.071,0.119
"P33","6",0.07,0.071,0.048,0.035,0.027,0.03
"P33","7",0.052,0.036,0.037,0.034,0.025,0.042
"P33","8",0.058,0.082,0.079,0.088,0.065,0.033
"P33","9-Pésimo",0.223,0.208,0.185,0.255,0.404,0.12
"P33","No sabe",0.065,0.052,0.067,0.081,0.024,0.086
"P34","1-Excelente",0.156,0.146,0.179,0.175,0.22,0.093
"P34","2",0.158,0.127,0.086,0.082,0.077,0.133
"P34","3",0.048,0.053,0.093,0.083,0.068,0.211
"P34","4",0.057,0.058,0.081,0.081,0.006,0.164
"P34","5",0.12,0.177,0.14,0.106,0.083,0.039
"P34","6",0.035,0.029,0.055,0.031,0.017,0.047
"P34","7",0.04,0.041,0.024,0.022,0.035,0.07
"P34","8",0.035,0.098,0.05,0.064,0.05,0.034
"P34","9-Pésimo",0.282,0.221,0.231,0.308,0.417,0.141
"P34","No sabe",0.069,0.05,0.061,0.048,0.027,0.068
"P35","1-Excelente",0.176,0.129,0.174,0.151,0.229,0.089
"P35","2",0.128,0.111,0.081,0.106,0.079,0.058
"P35","3",0.058,0.081,0.112,0.081,0.058,0.227
"P35","4",0.086,0.066,0.086,0.078,0.038,0.17
"P35","5",0.097,0.18,0.135,0.127,0.101,0.095
"P35","6",0.062,0.053,0.066,0.037,0.017,0.073
"P35","7",0.026,0.054,0.03,0.051,0.021,0.054
"P35","8",0.05,0.059,0.044,0.062,0.023,0.015
"P35","9-Pésimo",0.26,0.21,0.21,0.266,0.407,0.144
"P35","No sabe",0.057,0.057,0.062,0.041,0.027,0.075
"P36","1-Excelente",0.135,0.136,0.131,0.168,0.168,0.073
"P36","2",0.128,0.146,0.137,0.082,0.162,0.024
"P36","3",0.102,0.058,0.087,0.034,0.053,0.182
"P36","4",0.05,0.058,0.038,0.086,0.01,0.272
"P36","5",0.132,0.199,0.191,0.131,0.077,0.078
"P36","6",0.057,0.052,0.05,0.067,0.021,0.067
"P36","7",0.033,0.04,0.069,0.048,0.018,0.032
"P36","8",0.053,0.055,0.066,0.064,0.036,0.034
