"var","categoria","El anterior gobierno de Arabela Carreras","El actual gobierno de Alberto Weretilneck","No sabe"
"P12","Gran excedente habitual",0.027,0.036,0.01
"P12","Gran excedente excepcional",0.002,0.001,0
"P12","Pequeño excedente habitual",0.025,0.05,0.093
"P12","Pequeño excedente excepcional",0.07,0.081,0.054
"P12","Alcanza gastos familia",0.12,0.158,0.194
"P12","No alcanza gastos familia",0.109,0.098,0.021
"P12","Solo NBFamiliares",0.327,0.28,0.226
"P12","No alcanza NBFamiliares",0.316,0.28,0.366
"P12","No sabe",0.004,0.016,0.036
"P13","Muy buena",0.049,0.024,0.031
"P13","Buena",0.157,0.088,0.067
"P13","Ni buena ni mala",0.245,0.134,0.505
"P13","Mala",0.398,0.407,0.24
"P13","Muy mala",0.143,0.341,0.117
"P13","No sabe",0.008,0.006,0.04
"P14","Muy buena",0.267,0.351,0.227
"P14","Buena",0.242,0.205,0.161
"P14","Ni buena ni mala",0.136,0.135,0.323
"P14","Mala",0.132,0.091,0.107
"P14","Muy mala",0.222,0.208,0.171
"P14","No sabe",0.001,0.01,0.011
"P19","Muy buena",0.07,0.029,0.053
"P19","Buena",0.174,0.093,0.188
"P19","Ni buena ni mala",0.323,0.217,0.484
"P19","Mala",0.288,0.327,0.191
"P19","Muy mala",0.132,0.323,0.038
"P19","No sabe",0.013,0.011,0.046
"P23","Empleado sector publico",0.219,0.188,0.105
"P23","Empleado sector privado",0.213,0.319,0.21
"P23","Changas o trabajos eventuales",0.232,0.161,0.326
"P23","Estudiante",0.035,0.04,0.079
"P23","Amas de casa",0.042,0.057,0.067
"P23","Profesional o independiente",0.087,0.106,0.131
"P23","Comerciante, emprendedor o empresario",0.088,0.052,0.029
"P23","Trabajador informal",0.02,0.011,0.012
"P23","No tengo trabajo",0.064,0.066,0.041
"P24","Muy de acuerdo",0.247,0.141,0.194
"P24","De acuerdo",0.213,0.23,0.136
"P24","Ni de acuerdo ni en desacuerdo",0.279,0.273,0.404
"P24","En desacuerdo",0.189,0.16,0.146
"P24","Muy en desacuerdo",0.055,0.165,0.034
"P24","No sabe",0.017,0.031,0.086
"P25","Muy de acuerdo",0.103,0.179,0.085
"P25","De acuerdo",0.187,0.22,0.152
"P25","Ni de acuerdo ni en desacuerdo",0.243,0.208,0.259
"P25","En desacuerdo",0.409,0.235,0.291
"P25","Muy en desacuerdo",0.056,0.141,0.149
"P25","No sabe",0.002,0.017,0.064
"P26","Si",0.656,0.69,0.554
"P26","No",0.344,0.31,0.446
"P27","Muy de acuerdo",0.148,0.265,0.135
"P27","De acuerdo",0.214,0.24,0.195
"P27","Ni de acuerdo ni en desacuerdo",0.308,0.196,0.284
"P27","En desacuerdo",0.246,0.177,0.186
"P27","Muy en desacuerdo",0.081,0.113,0.168
"P27","No sabe",0.003,0.009,0.032
"P28","Si",0.693,0.729,0.513
"P28","No",0.307,0.271,0.487
"P29","Muy de acuerdo",0.219,0.3,0.209
"P29","De acuerdo",0.276,0.302,0.209
"P29","Ni de acuerdo ni en desacuerdo",0.218,0.164,0.325
"P29","En desacuerdo",0.197,0.122,0.145
"P29","Muy en desacuerdo",0.085,0.081,0.086
"P29","No sabe",0.005,0.031,0.026
"P30","No estaba enterado",0.269,0.219,0.356
"P30","De acuerdo",0.43,0.53,0.363
"P30","En desacuerdo",0.243,0.186,0.145
"P30","No sabe",0.058,0.065,0.136
"P31","No tengo cable ni internet",0.169,0.182,0.242
"P31","Si tuve",0.59,0.58,0.422
"P31","No tuve",0.241,0.238,0.336
"P32","Reclamando directamente a la empresa",0.329,0.294,0.278
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.337,0.329,0.468
"P32","Nunca se pudo resolver",0.334,0.377,0.254
"P33","1-Excelente",0.134,0.178,0.194
"P33","2",0.094,0.096,0.05
"P33","3",0.042,0.06,0.071
"P33","4",0.055,0.036,0.052
"P33","5",0.127,0.111,0.24
"P33","6",0.048,0.03,0.054
"P33","7",0.051,0.027,0.059
"P33","8",0.126,0.057,0.104
"P33","9-Pésimo",0.277,0.375,0.065
"P33","No sabe",0.046,0.03,0.111
"P34","1-Excelente",0.117,0.207,0.117
"P34","2",0.106,0.097,0.092
"P34","3",0.044,0.05,0.096
"P34","4",0.091,0.036,0.057
"P34","5",0.097,0.097,0.258
"P34","6",0.031,0.02,0.028
"P34","7",0.054,0.014,0.067
"P34","8",0.09,0.047,0.038
"P34","9-Pésimo",0.329,0.402,0.194
"P34","No sabe",0.041,0.03,0.053
"P35","1-Excelente",0.13,0.192,0.102
"P35","2",0.082,0.111,0.146
"P35","3",0.054,0.057,0.109
"P35","4",0.12,0.041,0.06
"P35","5",0.106,0.096,0.213
"P35","6",0.042,0.025,0.032
"P35","7",0.057,0.03,0.071
"P35","8",0.049,0.053,0.081
