"var","categoria","No estaba enterado","De acuerdo","En desacuerdo","No sabe"
"P12","Gran excedente habitual",0.019,0.039,0.002,0.05
"P12","Gran excedente excepcional",0.001,0,0.001,0
"P12","Pequeño excedente habitual",0.026,0.076,0.019,0.035
"P12","Pequeño excedente excepcional",0.072,0.084,0.045,0.024
"P12","Alcanza gastos familia",0.094,0.203,0.098,0.149
"P12","No alcanza gastos familia",0.083,0.095,0.09,0.164
"P12","Solo NBFamiliares",0.224,0.308,0.303,0.289
"P12","No alcanza NBFamiliares",0.473,0.182,0.435,0.262
"P12","No sabe",0.008,0.013,0.007,0.027
"P13","Muy buena",0.113,0.052,0.103,0.052
"P13","Buena",0.194,0.131,0.211,0.139
"P13","Ni buena ni mala",0.336,0.187,0.327,0.383
"P13","Mala",0.206,0.387,0.222,0.266
"P13","Muy mala",0.127,0.226,0.131,0.085
"P13","No sabe",0.024,0.017,0.006,0.075
"P14","Muy buena",0.189,0.473,0.03,0.096
"P14","Buena",0.132,0.265,0.071,0.124
"P14","Ni buena ni mala",0.289,0.13,0.098,0.226
"P14","Mala",0.194,0.083,0.2,0.227
"P14","Muy mala",0.188,0.045,0.591,0.291
"P14","No sabe",0.008,0.004,0.01,0.036
"P19","Muy buena",0.163,0.053,0.114,0.039
"P19","Buena",0.199,0.138,0.244,0.19
"P19","Ni buena ni mala",0.345,0.279,0.334,0.373
"P19","Mala",0.136,0.312,0.157,0.243
"P19","Muy mala",0.137,0.206,0.131,0.092
"P19","No sabe",0.02,0.012,0.02,0.063
"P20","Gobierno nacional",0.293,0.083,0.56,0.243
"P20","Gobierno provincial",0.394,0.813,0.32,0.436
"P20","No sabe",0.313,0.104,0.12,0.321
"P21","El anterior gobierno de Arabela Carreras",0.369,0.316,0.421,0.284
"P21","El actual gobierno de Alberto Weretilneck",0.457,0.589,0.489,0.48
"P21","No sabe",0.174,0.095,0.09,0.236
"P22","El anterior gobierno de Alberto Fernández",0.321,0.683,0.111,0.405
"P22","El actual gobierno de Javier Milei",0.557,0.317,0.826,0.512
"P22","No sabe",0.122,0,0.063,0.083
"P23","Empleado sector publico",0.183,0.199,0.211,0.188
"P23","Empleado sector privado",0.218,0.281,0.215,0.187
"P23","Changas o trabajos eventuales",0.293,0.141,0.199,0.212
"P23","Estudiante",0.039,0.061,0.028,0.023
"P23","Amas de casa",0.106,0.039,0.078,0.096
"P23","Profesional o independiente",0.056,0.137,0.085,0.094
"P23","Comerciante, emprendedor o empresario",0.019,0.082,0.064,0.042
"P23","Trabajador informal",0.013,0.006,0.007,0.053
"P23","No tengo trabajo",0.073,0.054,0.113,0.105
"P24","Muy de acuerdo",0.219,0.188,0.23,0.218
"P24","De acuerdo",0.169,0.218,0.219,0.199
"P24","Ni de acuerdo ni en desacuerdo",0.369,0.301,0.288,0.336
"P24","En desacuerdo",0.13,0.15,0.138,0.133
"P24","Muy en desacuerdo",0.049,0.118,0.083,0.027
"P24","No sabe",0.064,0.025,0.042,0.087
"P25","Muy de acuerdo",0.123,0.216,0.051,0.025
"P25","De acuerdo",0.085,0.316,0.039,0.08
"P25","Ni de acuerdo ni en desacuerdo",0.262,0.237,0.097,0.201
"P25","En desacuerdo",0.409,0.133,0.627,0.509
"P25","Muy en desacuerdo",0.109,0.087,0.181,0.149
"P25","No sabe",0.012,0.011,0.005,0.036
"P26","Si",0.453,0.764,0.679,0.501
"P26","No",0.547,0.236,0.321,0.499
"P27","Muy de acuerdo",0.163,0.315,0.064,0.082
"P27","De acuerdo",0.158,0.304,0.109,0.235
"P27","Ni de acuerdo ni en desacuerdo",0.26,0.219,0.174,0.223
"P27","En desacuerdo",0.262,0.106,0.432,0.308
"P27","Muy en desacuerdo",0.126,0.055,0.208,0.12
"P27","No sabe",0.031,0.001,0.013,0.032
"P28","Si",0.426,0.813,0.702,0.504
"P28","No",0.574,0.187,0.298,0.496
"P29","Muy de acuerdo",0.19,0.37,0.073,0.084
"P29","De acuerdo",0.19,0.331,0.094,0.143
"P29","Ni de acuerdo ni en desacuerdo",0.246,0.206,0.152,0.238
"P29","En desacuerdo",0.206,0.032,0.453,0.334
"P29","Muy en desacuerdo",0.129,0.04,0.207,0.153
"P29","No sabe",0.039,0.021,0.021,0.048
"P31","No tengo cable ni internet",0.349,0.155,0.142,0.26
"P31","Si tuve",0.453,0.597,0.555,0.567
"P31","No tuve",0.198,0.248,0.303,0.173
"P32","Reclamando directamente a la empresa",0.348,0.285,0.338,0.199
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.314,0.35,0.377,0.381
"P32","Nunca se pudo resolver",0.338,0.365,0.285,0.42
"P33","1-Excelente",0.221,0.155,0.129,0.166
"P33","2",0.114,0.136,0.107,0.043
"P33","3",0.04,0.062,0.063,0.061
"P33","4",0.045,0.046,0.063,0.041
"P33","5",0.136,0.141,0.189,0.205
"P33","6",0.053,0.031,0.063,0.11
"P33","7",0.036,0.029,0.054,0.037
"P33","8",0.049,0.079,0.09,0.093
"P33","9-Pésimo",0.182,0.294,0.204,0.193
"P33","No sabe",0.124,0.027,0.038,0.051
"P34","1-Excelente",0.189,0.171,0.143,0.158
"P34","2",0.103,0.13,0.097,0.093
"P34","3",0.077,0.08,0.076,0.048
"P34","4",0.059,0.048,0.088,0.107
"P34","5",0.134,0.122,0.122,0.168
"P34","6",0.041,0.017,0.055,0.065
"P34","7",0.022,0.035,0.048,0.016
"P34","8",0.042,0.067,0.059,0.076
"P34","9-Pésimo",0.229,0.303,0.271,0.229
"P34","No sabe",0.104,0.027,0.041,0.04
"P35","1-Excelente",0.176,0.199,0.114,0.148
"P35","2",0.103,0.106,0.109,0.019
"P35","3",0.085,0.078,0.097,0.115
"P35","4",0.116,0.046,0.077,0.081
"P35","5",0.106,0.117,0.16,0.181
"P35","6",0.047,0.03,0.082,0.096
"P35","7",0.016,0.044,0.048,0.051
"P35","8",0.039,0.051,0.057,0.045
"P35","9-Pésimo",0.2,0.312,0.224,0.204
"P35","No sabe",0.112,0.017,0.032,0.06
"P36","1-Excelente",0.154,0.141,0.133,0.097
"P36","2",0.115,0.131,0.148,0.085
"P36","3",0.095,0.077,0.059,0.06
"P36","4",0.078,0.035,0.053,0.074
"P36","5",0.148,0.172,0.145,0.167
"P36","6",0.046,0.031,0.07,0.112
"P36","7",0.037,0.05,0.042,0.094
"P36","8",0.038,0.063,0.071,0.062
"P36","9-Pésimo",0.183,0.252,0.24,0.198
"P36","No sabe",0.106,0.048,0.039,0.051
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.382,0.066,0.848,0.453
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.257,0.245,0.107,0.236
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.142,0.323,0.017,0.125
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.114,0.352,0.015,0.085
"P37","No sabe",0.105,0.014,0.013,0.101
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.359,0.03,0.729,0.36
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.217,0.156,0.189,0.158
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.204,0.449,0.058,0.206
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.14,0.341,0.015,0.115
"P38","No sabe",0.08,0.024,0.009,0.161
"P39","Oponerse totalmente",0.323,0.05,0.746,0.363
"P39","Oponerse parcialmente",0.2,0.096,0.141,0.062
"P39","Apoyar parcialmente",0.289,0.376,0.089,0.25
"P39","Apoyar totalmente",0.103,0.454,0.015,0.142
"P39","No sabe",0.085,0.024,0.009,0.183
"P40","Inseguridad y narcotráfico",0.343,0.223,0.417,0.272
"P40","Altos impuestos y tarifas",0.168,0.207,0.138,0.142
"P40","Educación y estado de las escuelas",0.216,0.242,0.118,0.24
"P40","Inflación",0.142,0.165,0.178,0.156
"P40","Estado de la salud",0.049,0.086,0.096,0.116
"P40","Corrupción",0.051,0.062,0.017,0.049
"P40","Pobreza",0.014,0.013,0.014,0
"P40","Medio ambiente, incendios y contaminación",0.002,0,0.006,0.01
"P40","Falta de trabajo",0.002,0.002,0.012,0.015
"P40","No sabe",0.013,0,0.004,0
"P44","Muy buena",0.07,0.013,0.032,0.012
"P44","Buena",0.077,0.108,0.091,0.106
"P44","Ni buena ni mala",0.395,0.277,0.307,0.289
"P44","Mala",0.298,0.396,0.374,0.392
"P44","Muy mala",0.112,0.193,0.177,0.185
"P44","No sabe",0.048,0.013,0.019,0.016
"P45","Peor",0.531,0.457,0.732,0.698
"P45","Igual",0.231,0.368,0.169,0.158
"P45","Mejor",0.136,0.07,0.051,0.077
"P45","No sabe",0.102,0.105,0.048,0.067
"P46","Peor",0.499,0.371,0.736,0.47
"P46","Igual",0.268,0.334,0.19,0.185
"P46","Mejor",0.136,0.225,0.049,0.212
"P46","No sabe",0.097,0.07,0.025,0.133
"P47","Javier Milei",0.331,0.723,0.082,0.293
"P47","Los gobernadores",0.502,0.191,0.839,0.483
"P47","No sabe",0.167,0.086,0.079,0.224
"P48","Muy buena",0.133,0.081,0.114,0.127
"P48","Buena",0.242,0.126,0.282,0.264
"P48","Ni buena ni mala",0.339,0.22,0.274,0.303
"P48","Mala",0.156,0.314,0.217,0.199
"P48","Muy mala",0.114,0.246,0.105,0.096
"P48","No sabe",0.016,0.013,0.008,0.011
"P50","Muy buena",0.093,0.045,0.254,0.092
"P50","Buena",0.148,0.102,0.293,0.141
"P50","Ni buena ni mala",0.401,0.177,0.25,0.277
"P50","Mala",0.162,0.353,0.135,0.301
"P50","Muy mala",0.127,0.301,0.042,0.166
"P50","No sabe",0.069,0.022,0.026,0.023
"P51","Muy buena",0.094,0.208,0.045,0.045
"P51","Buena",0.164,0.236,0.105,0.159
"P51","Ni buena ni mala",0.379,0.27,0.335,0.27
"P51","Mala",0.166,0.173,0.23,0.222
"P51","Muy mala",0.099,0.093,0.244,0.193
"P51","No sabe",0.098,0.02,0.041,0.111
"P54","Muy buena",0.239,0.047,0.411,0.204
"P54","Buena",0.139,0.064,0.216,0.094
"P54","Ni buena ni mala",0.139,0.038,0.186,0.05
"P54","Mala",0.196,0.226,0.091,0.316
"P54","Muy mala",0.262,0.617,0.096,0.304
"P54","No sabe",0.025,0.008,0,0.032
"P55","Muy buena",0.059,0.155,0.023,0.134
"P55","Buena",0.142,0.266,0.053,0.145
"P55","Ni buena ni mala",0.198,0.252,0.05,0.131
"P55","Mala",0.307,0.175,0.271,0.285
"P55","Muy mala",0.288,0.151,0.598,0.275
"P55","No sabe",0.006,0.001,0.005,0.03
"P56","Muy buena",0.128,0.045,0.145,0.092
"P56","Buena",0.137,0.052,0.297,0.227
"P56","Ni buena ni mala",0.292,0.062,0.262,0.131
"P56","Mala",0.147,0.223,0.14,0.225
"P56","Muy mala",0.277,0.613,0.153,0.275
"P56","No sabe",0.019,0.005,0.003,0.05
"P57","Muy buena",0.163,0.051,0.493,0.203
"P57","Buena",0.133,0.048,0.206,0.095
"P57","Ni buena ni mala",0.189,0.023,0.117,0.117
"P57","Mala",0.18,0.238,0.076,0.219
"P57","Muy mala",0.297,0.63,0.099,0.317
"P57","No sabe",0.038,0.01,0.009,0.049
"P58","Muy buena",0.191,0.574,0.036,0.202
"P58","Buena",0.132,0.21,0.057,0.145
"P58","Ni buena ni mala",0.161,0.073,0.044,0.125
"P58","Mala",0.203,0.038,0.166,0.114
"P58","Muy mala",0.296,0.103,0.694,0.356
"P58","No sabe",0.017,0.002,0.003,0.058
"P59","Muy buena",0.136,0.486,0.024,0.131
"P59","Buena",0.219,0.304,0.067,0.248
"P59","Ni buena ni mala",0.165,0.114,0.047,0.145
"P59","Mala",0.144,0.037,0.147,0.102
"P59","Muy mala",0.324,0.058,0.713,0.367
"P59","No sabe",0.012,0.001,0.002,0.007
"P60","Muy buena",0.229,0.623,0.032,0.196
"P60","Buena",0.153,0.217,0.066,0.156
"P60","Ni buena ni mala",0.204,0.09,0.079,0.155
"P60","Mala",0.116,0.025,0.159,0.156
"P60","Muy mala",0.247,0.043,0.653,0.33
"P60","No sabe",0.051,0.002,0.011,0.007
"P61","Muy buena",0.089,0.13,0.023,0.038
"P61","Buena",0.154,0.26,0.096,0.207
"P61","Ni buena ni mala",0.429,0.445,0.334,0.277
"P61","Mala",0.089,0.097,0.235,0.126
"P61","Muy mala",0.17,0.061,0.281,0.204
"P61","No sabe",0.069,0.007,0.031,0.148
