"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.115,0.11,0.121,0.064,0.098,0.149,0.159,0.144,0.112,0.097,0.102,0.249,0.039,0.045,0.201,0.162,0.086,0.082,6
"Buena",0.171,0.169,0.173,0.187,0.157,0.184,0.17,0.144,0.193,0.165,0.122,0.333,0.161,0.101,0.251,0.183,0.159,0.167,6
"Ni buena ni mala",0.321,0.327,0.315,0.33,0.332,0.297,0.325,0.266,0.36,0.318,0.403,0.239,0.263,0.348,0.294,0.272,0.343,0.366,6
"Mala",0.191,0.185,0.198,0.209,0.199,0.185,0.162,0.187,0.183,0.203,0.172,0.103,0.27,0.257,0.137,0.194,0.183,0.195,6
"Muy mala",0.146,0.166,0.123,0.152,0.169,0.125,0.113,0.185,0.095,0.178,0.137,0.047,0.252,0.195,0.075,0.145,0.16,0.132,6
"No sabe",0.056,0.043,0.07,0.058,0.045,0.06,0.071,0.074,0.057,0.039,0.064,0.029,0.015,0.054,0.042,0.044,0.069,0.058,6
"Positiva",0.286,0.279,0.294,0.251,0.255,0.333,0.329,0.288,0.305,0.262,0.224,0.582,0.2,0.146,0.452,0.345,0.245,0.249,4
"Neutra",0.321,0.327,0.315,0.33,0.332,0.297,0.325,0.266,0.36,0.318,0.403,0.239,0.263,0.348,0.294,0.272,0.343,0.366,4
"Negativa",0.337,0.351,0.321,0.361,0.368,0.31,0.275,0.372,0.278,0.381,0.309,0.15,0.522,0.452,0.212,0.339,0.343,0.327,4
"No sabe",0.056,0.043,0.07,0.058,0.045,0.06,0.071,0.074,0.057,0.039,0.064,0.029,0.015,0.054,0.042,0.044,0.069,0.058,4
