"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.14,0.126,0.155,0.205,0.145,0.099,0.104,0.167,0.153,0.094,0.162,0.134,0.117,0.141,0.16,0.119,0.129,0.184
"2",0.127,0.123,0.132,0.178,0.09,0.133,0.154,0.151,0.141,0.085,0.12,0.162,0.155,0.149,0.125,0.101,0.169,0.12
"3",0.077,0.081,0.072,0.061,0.063,0.081,0.127,0.092,0.068,0.075,0.097,0.06,0.073,0.05,0.095,0.091,0.068,0.065
"4",0.056,0.042,0.072,0.024,0.049,0.079,0.082,0.072,0.043,0.059,0.073,0.057,0.029,0.07,0.038,0.063,0.039,0.065
"5",0.157,0.172,0.14,0.133,0.177,0.135,0.169,0.16,0.146,0.169,0.174,0.159,0.095,0.144,0.177,0.152,0.193,0.124
"6",0.052,0.049,0.056,0.027,0.06,0.062,0.05,0.022,0.055,0.078,0.067,0.041,0.055,0.067,0.035,0.04,0.051,0.072
"7",0.047,0.046,0.047,0.035,0.048,0.051,0.05,0.032,0.048,0.059,0.046,0.047,0.056,0.046,0.052,0.05,0.031,0.059
"8",0.057,0.071,0.041,0.092,0.042,0.068,0.035,0.016,0.066,0.084,0.05,0.038,0.067,0.065,0.04,0.058,0.063,0.05
"9-Pésimo",0.223,0.228,0.218,0.196,0.262,0.22,0.157,0.235,0.204,0.239,0.154,0.233,0.32,0.226,0.202,0.244,0.198,0.22
"No sabe",0.064,0.062,0.067,0.049,0.064,0.072,0.072,0.053,0.076,0.058,0.057,0.069,0.033,0.042,0.076,0.082,0.059,0.041
