"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.17,0.139,0.202,0.16,0.168,0.161,0.201,0.231,0.17,0.108,0.189,0.17,0.156,0.165,0.193,0.152,0.166,0.2
"2",0.114,0.113,0.116,0.149,0.106,0.095,0.123,0.147,0.117,0.078,0.125,0.128,0.138,0.115,0.12,0.114,0.149,0.077
"3",0.055,0.059,0.051,0.046,0.045,0.064,0.081,0.053,0.04,0.08,0.045,0.064,0.069,0.045,0.068,0.042,0.06,0.069
"4",0.05,0.051,0.049,0.058,0.042,0.052,0.059,0.066,0.036,0.055,0.068,0.037,0.029,0.058,0.042,0.071,0.034,0.037
"5",0.157,0.164,0.15,0.145,0.148,0.178,0.165,0.102,0.169,0.194,0.152,0.161,0.17,0.163,0.153,0.149,0.154,0.172
"6",0.053,0.06,0.045,0.035,0.06,0.052,0.056,0.043,0.046,0.072,0.075,0.022,0.055,0.067,0.048,0.06,0.054,0.041
"7",0.039,0.043,0.034,0.026,0.039,0.053,0.032,0.012,0.04,0.063,0.054,0.024,0.017,0.05,0.033,0.03,0.031,0.06
"8",0.073,0.082,0.065,0.081,0.07,0.075,0.072,0.059,0.075,0.086,0.086,0.049,0.062,0.08,0.066,0.055,0.088,0.085
"9-Pésimo",0.226,0.233,0.218,0.226,0.262,0.209,0.155,0.223,0.233,0.22,0.142,0.26,0.291,0.197,0.228,0.254,0.203,0.211
"No sabe",0.063,0.056,0.07,0.074,0.06,0.061,0.056,0.064,0.074,0.044,0.064,0.085,0.013,0.06,0.049,0.073,0.061,0.048
