"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.165,0.145,0.186,0.259,0.155,0.117,0.144,0.213,0.17,0.11,0.186,0.171,0.162,0.157,0.191,0.173,0.153,0.165
"2",0.1,0.093,0.108,0.101,0.092,0.103,0.114,0.122,0.101,0.077,0.087,0.129,0.117,0.101,0.109,0.075,0.138,0.096
"3",0.088,0.097,0.078,0.085,0.077,0.09,0.119,0.081,0.091,0.092,0.076,0.091,0.1,0.07,0.094,0.081,0.09,0.097
"4",0.079,0.08,0.079,0.053,0.076,0.096,0.097,0.115,0.065,0.064,0.135,0.06,0.026,0.108,0.059,0.064,0.089,0.091
"5",0.13,0.144,0.115,0.121,0.127,0.13,0.149,0.104,0.123,0.166,0.126,0.117,0.127,0.134,0.127,0.14,0.12,0.126
"6",0.054,0.056,0.052,0.047,0.054,0.065,0.047,0.039,0.045,0.082,0.071,0.039,0.048,0.074,0.031,0.047,0.062,0.056
"7",0.037,0.042,0.031,0.012,0.042,0.048,0.038,0.02,0.032,0.06,0.044,0.032,0.022,0.04,0.035,0.026,0.042,0.047
"8",0.048,0.056,0.04,0.079,0.039,0.043,0.042,0.005,0.06,0.074,0.03,0.036,0.085,0.043,0.058,0.052,0.056,0.035
"9-Pésimo",0.245,0.242,0.247,0.222,0.275,0.248,0.186,0.241,0.25,0.24,0.184,0.273,0.289,0.224,0.246,0.282,0.195,0.243
"No sabe",0.054,0.045,0.064,0.021,0.063,0.06,0.064,0.06,0.063,0.035,0.061,0.052,0.024,0.049,0.05,0.06,0.055,0.044
