"var","categoria","Inseguridad y narcotráfico","Altos impuestos y tarifas","Educación y estado de las escuelas","Inflación","Estado de la salud","Corrupción","Pobreza","Medio ambiente, incendios y contaminación","Falta de trabajo","No sabe"
"P12","Gran excedente habitual",0.01,0.022,0.025,0.028,0.032,0.079,0,0,0,0
"P12","Gran excedente excepcional",0.001,0,0,0,0.008,0,0,0,0,0
"P12","Pequeño excedente habitual",0.043,0.033,0.026,0.034,0.062,0.061,0.03,0,0,0
"P12","Pequeño excedente excepcional",0.052,0.05,0.091,0.075,0.023,0.159,0.157,0.188,0,0.204
"P12","Alcanza gastos familia",0.125,0.102,0.198,0.117,0.133,0.094,0.014,0,0.122,0
"P12","No alcanza gastos familia",0.091,0.089,0.101,0.139,0.083,0.112,0.075,0.122,0.106,0
"P12","Solo NBFamiliares",0.264,0.341,0.321,0.281,0.326,0.211,0.122,0.228,0.524,0.035
"P12","No alcanza NBFamiliares",0.412,0.337,0.233,0.322,0.329,0.24,0.602,0.462,0.248,0.761
"P12","No sabe",0.002,0.026,0.005,0.004,0.004,0.044,0,0,0,0
"P13","Muy buena",0.097,0.082,0.083,0.053,0.003,0.053,0.248,0,0.353,0.166
"P13","Buena",0.145,0.226,0.157,0.155,0.153,0.073,0.194,0.462,0.043,0.035
"P13","Ni buena ni mala",0.251,0.338,0.317,0.29,0.201,0.254,0.143,0.228,0.32,0.317
"P13","Mala",0.262,0.262,0.31,0.306,0.31,0.331,0.292,0.242,0.241,0.204
"P13","Muy mala",0.23,0.088,0.125,0.154,0.333,0.27,0.123,0.068,0.043,0.278
"P13","No sabe",0.015,0.004,0.008,0.042,0,0.019,0,0,0,0
"P14","Muy buena",0.196,0.238,0.317,0.189,0.147,0.333,0.059,0,0.154,0.201
"P14","Buena",0.104,0.224,0.157,0.149,0.193,0.117,0.112,0,0.086,0
"P14","Ni buena ni mala",0.122,0.201,0.211,0.174,0.075,0.189,0.079,0,0.043,0
"P14","Mala",0.189,0.128,0.155,0.15,0.074,0.126,0.368,0.462,0.289,0
"P14","Muy mala",0.388,0.209,0.156,0.331,0.509,0.218,0.253,0.538,0.428,0.482
"P14","No sabe",0.001,0,0.004,0.007,0.002,0.017,0.129,0,0,0.317
"P19","Muy buena",0.116,0.088,0.094,0.091,0.005,0.046,0,0,0.352,0
"P19","Buena",0.17,0.25,0.209,0.158,0.13,0.106,0.261,0.462,0.19,0
"P19","Ni buena ni mala",0.281,0.361,0.328,0.373,0.324,0.336,0.193,0.538,0.415,0.238
"P19","Mala",0.221,0.205,0.237,0.22,0.14,0.24,0.141,0,0,0
"P19","Muy mala",0.207,0.074,0.122,0.143,0.392,0.196,0.405,0,0.043,0.279
"P19","No sabe",0.005,0.022,0.01,0.015,0.009,0.076,0,0,0,0.483
"P20","Gobierno nacional",0.423,0.281,0.197,0.307,0.295,0.111,0.639,0.758,0.648,0.204
"P20","Gobierno provincial",0.47,0.568,0.642,0.54,0.638,0.68,0.2,0.188,0.243,0
"P20","No sabe",0.107,0.151,0.161,0.153,0.067,0.209,0.161,0.054,0.109,0.796
"P21","El anterior gobierno de Arabela Carreras",0.309,0.395,0.446,0.372,0.391,0.251,0.285,0,0.708,0
"P21","El actual gobierno de Alberto Weretilneck",0.593,0.428,0.419,0.549,0.526,0.712,0.499,0,0.183,0
"P21","No sabe",0.098,0.177,0.135,0.079,0.083,0.037,0.216,1,0.109,0
"P22","El anterior gobierno de Alberto Fernández",0.235,0.288,0.265,0.27,0.126,0.116,0.295,0,0.154,0
"P22","El actual gobierno de Javier Milei",0.724,0.679,0.575,0.695,0.874,0.495,0.585,1,0.846,1
"P22","No sabe",0.041,0.033,0.16,0.035,0,0.389,0.12,0,0,0
"P23","Empleado sector publico",0.19,0.196,0.178,0.24,0.169,0.192,0.192,0.221,0.67,0
"P23","Empleado sector privado",0.221,0.256,0.254,0.257,0.254,0.228,0.098,0.087,0.046,0
"P23","Changas o trabajos eventuales",0.22,0.175,0.213,0.181,0.215,0.06,0,0.141,0,0
"P23","Estudiante",0.049,0.029,0.051,0.038,0.017,0.042,0,0,0,0.204
"P23","Amas de casa",0.09,0.078,0.046,0.075,0.091,0.028,0.161,0,0.107,0.166
"P23","Profesional o independiente",0.082,0.114,0.117,0.102,0.098,0.125,0.071,0.068,0.047,0.035
"P23","Comerciante, emprendedor o empresario",0.043,0.035,0.047,0.047,0.117,0.16,0.191,0.188,0,0
"P23","Trabajador informal",0.008,0.014,0.026,0.002,0,0,0,0.241,0,0.317
"P23","No tengo trabajo",0.097,0.103,0.068,0.058,0.039,0.165,0.287,0.054,0.13,0.278
"P24","Muy de acuerdo",0.176,0.209,0.246,0.203,0.176,0.158,0.132,0.141,0.396,0
"P24","De acuerdo",0.185,0.226,0.209,0.185,0.203,0.119,0,0.209,0.265,0
"P24","Ni de acuerdo ni en desacuerdo",0.34,0.344,0.321,0.267,0.304,0.365,0.598,0.65,0.229,0.722
"P24","En desacuerdo",0.157,0.127,0.115,0.211,0.14,0.171,0.053,0,0.067,0
"P24","Muy en desacuerdo",0.124,0.046,0.096,0.08,0.156,0.161,0.117,0,0.043,0.278
"P24","No sabe",0.018,0.048,0.013,0.054,0.021,0.026,0.1,0,0,0
"P25","Muy de acuerdo",0.101,0.073,0.145,0.122,0.117,0.074,0.129,0,0.063,0
"P25","De acuerdo",0.088,0.196,0.226,0.148,0.147,0.256,0.064,0,0.126,0
