"var","categoria","Javier Milei","Los gobernadores","No sabe"
"P12","Gran excedente habitual",0.037,0.01,0.03
"P12","Gran excedente excepcional",0.002,0.001,0
"P12","Pequeño excedente habitual",0.049,0.026,0.055
"P12","Pequeño excedente excepcional",0.081,0.06,0.067
"P12","Alcanza gastos familia",0.17,0.106,0.113
"P12","No alcanza gastos familia",0.101,0.095,0.118
"P12","Solo NBFamiliares",0.324,0.273,0.274
"P12","No alcanza NBFamiliares",0.223,0.422,0.336
"P12","No sabe",0.013,0.007,0.007
"P13","Muy buena",0.033,0.116,0.041
"P13","Buena",0.092,0.233,0.097
"P13","Ni buena ni mala",0.214,0.312,0.38
"P13","Mala",0.39,0.202,0.296
"P13","Muy mala",0.267,0.115,0.167
"P13","No sabe",0.004,0.022,0.019
"P14","Muy buena",0.502,0.039,0.099
"P14","Buena",0.243,0.069,0.179
"P14","Ni buena ni mala",0.113,0.155,0.33
"P14","Mala",0.071,0.223,0.17
"P14","Muy mala",0.069,0.51,0.188
"P14","No sabe",0.002,0.004,0.034
"P19","Muy buena",0.046,0.123,0.074
"P19","Buena",0.092,0.274,0.13
"P19","Ni buena ni mala",0.31,0.323,0.369
"P19","Mala",0.318,0.132,0.212
"P19","Muy mala",0.229,0.134,0.153
"P19","No sabe",0.005,0.014,0.062
"P20","Gobierno nacional",0.091,0.527,0.125
"P20","Gobierno provincial",0.823,0.355,0.461
"P20","No sabe",0.086,0.118,0.414
"P21","El anterior gobierno de Arabela Carreras",0.366,0.411,0.265
"P21","El actual gobierno de Alberto Weretilneck",0.572,0.427,0.517
"P21","No sabe",0.062,0.162,0.218
"P22","El anterior gobierno de Alberto Fernández",0.698,0.143,0.414
"P22","El actual gobierno de Javier Milei",0.268,0.801,0.416
"P22","No sabe",0.034,0.056,0.17
"P23","Empleado sector publico",0.176,0.204,0.218
"P23","Empleado sector privado",0.292,0.213,0.172
"P23","Changas o trabajos eventuales",0.117,0.246,0.238
"P23","Estudiante",0.059,0.033,0.028
"P23","Amas de casa",0.06,0.075,0.125
"P23","Profesional o independiente",0.14,0.083,0.047
"P23","Comerciante, emprendedor o empresario",0.075,0.04,0.039
"P23","Trabajador informal",0.009,0.015,0.014
"P23","No tengo trabajo",0.072,0.091,0.119
"P24","Muy de acuerdo",0.179,0.218,0.161
"P24","De acuerdo",0.199,0.198,0.157
"P24","Ni de acuerdo ni en desacuerdo",0.325,0.323,0.389
"P24","En desacuerdo",0.156,0.148,0.134
"P24","Muy en desacuerdo",0.122,0.078,0.132
"P24","No sabe",0.019,0.035,0.027
"P25","Muy de acuerdo",0.212,0.029,0.074
"P25","De acuerdo",0.264,0.076,0.129
"P25","Ni de acuerdo ni en desacuerdo",0.273,0.1,0.279
"P25","En desacuerdo",0.176,0.592,0.352
"P25","Muy en desacuerdo",0.071,0.195,0.156
"P25","No sabe",0.004,0.008,0.01
"P26","Si",0.779,0.618,0.413
"P26","No",0.221,0.382,0.587
"P27","Muy de acuerdo",0.303,0.091,0.11
"P27","De acuerdo",0.268,0.103,0.274
"P27","Ni de acuerdo ni en desacuerdo",0.247,0.192,0.225
"P27","En desacuerdo",0.118,0.409,0.21
"P27","Muy en desacuerdo",0.054,0.195,0.173
"P27","No sabe",0.01,0.01,0.008
"P28","Si",0.798,0.622,0.499
"P28","No",0.202,0.378,0.501
"P29","Muy de acuerdo",0.381,0.099,0.142
"P29","De acuerdo",0.28,0.125,0.184
"P29","Ni de acuerdo ni en desacuerdo",0.214,0.172,0.314
"P29","En desacuerdo",0.046,0.413,0.192
"P29","Muy en desacuerdo",0.053,0.169,0.133
"P29","No sabe",0.026,0.022,0.035
"P30","No estaba enterado",0.251,0.298,0.419
"P30","De acuerdo",0.634,0.132,0.249
"P30","En desacuerdo",0.063,0.503,0.2
"P30","No sabe",0.052,0.067,0.132
