"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.101,0.098,0.103,0.084,0.088,0.116,0.137,0.152,0.085,0.067,0.201,0.027,0.05,0.147,0.063,0.099,0.093,0.111,6
"Buena",0.187,0.205,0.168,0.187,0.184,0.174,0.216,0.178,0.201,0.174,0.296,0.13,0.259,0.258,0.143,0.166,0.197,0.208,6
"Ni buena ni mala",0.329,0.338,0.319,0.365,0.302,0.324,0.359,0.306,0.336,0.344,0.307,0.303,0.34,0.305,0.326,0.342,0.327,0.311,6
"Mala",0.206,0.19,0.223,0.179,0.221,0.223,0.18,0.174,0.219,0.223,0.116,0.329,0.14,0.149,0.267,0.228,0.203,0.178,6
"Muy mala",0.151,0.156,0.147,0.167,0.18,0.123,0.088,0.154,0.135,0.175,0.059,0.183,0.203,0.132,0.172,0.141,0.143,0.175,6
"No sabe",0.026,0.013,0.04,0.018,0.025,0.04,0.02,0.036,0.024,0.017,0.021,0.028,0.008,0.009,0.029,0.024,0.037,0.017,6
"Positiva",0.288,0.303,0.271,0.271,0.272,0.29,0.353,0.33,0.286,0.241,0.497,0.157,0.309,0.405,0.206,0.265,0.29,0.319,4
"Neutra",0.329,0.338,0.319,0.365,0.302,0.324,0.359,0.306,0.336,0.344,0.307,0.303,0.34,0.305,0.326,0.342,0.327,0.311,4
"Negativa",0.357,0.346,0.37,0.346,0.401,0.346,0.268,0.328,0.354,0.398,0.175,0.512,0.343,0.281,0.439,0.369,0.346,0.353,4
"No sabe",0.026,0.013,0.04,0.018,0.025,0.04,0.02,0.036,0.024,0.017,0.021,0.028,0.008,0.009,0.029,0.024,0.037,0.017,4
