"var","categoria","Reclamando directamente a la empresa","Reclamando en el Enacom porque la empresa nunca lo resolvió","Nunca se pudo resolver"
"P12","Gran excedente habitual",0.008,0.029,0.016
"P12","Gran excedente excepcional",0,0.004,0
"P12","Pequeño excedente habitual",0.019,0.032,0.037
"P12","Pequeño excedente excepcional",0.052,0.034,0.072
"P12","Alcanza gastos familia",0.151,0.129,0.136
"P12","No alcanza gastos familia",0.105,0.102,0.107
"P12","Solo NBFamiliares",0.312,0.305,0.347
"P12","No alcanza NBFamiliares",0.35,0.349,0.28
"P12","No sabe",0.003,0.016,0.005
"P13","Muy buena",0.09,0.063,0.089
"P13","Buena",0.163,0.216,0.19
"P13","Ni buena ni mala",0.305,0.269,0.243
"P13","Mala",0.282,0.261,0.328
"P13","Muy mala",0.156,0.179,0.139
"P13","No sabe",0.004,0.012,0.011
"P14","Muy buena",0.235,0.189,0.249
"P14","Buena",0.131,0.161,0.164
"P14","Ni buena ni mala",0.179,0.171,0.196
"P14","Mala",0.186,0.123,0.157
"P14","Muy mala",0.261,0.354,0.231
"P14","No sabe",0.008,0.002,0.003
"P19","Muy buena",0.143,0.101,0.066
"P19","Buena",0.146,0.189,0.218
"P19","Ni buena ni mala",0.375,0.264,0.324
"P19","Mala",0.165,0.224,0.247
"P19","Muy mala",0.153,0.188,0.133
"P19","No sabe",0.018,0.034,0.012
"P20","Gobierno nacional",0.306,0.339,0.298
"P20","Gobierno provincial",0.516,0.535,0.542
"P20","No sabe",0.178,0.126,0.16
"P21","El anterior gobierno de Arabela Carreras",0.402,0.365,0.356
"P21","El actual gobierno de Alberto Weretilneck",0.516,0.512,0.578
"P21","No sabe",0.082,0.123,0.066
"P22","El anterior gobierno de Alberto Fernández",0.127,0.209,0.341
"P22","El actual gobierno de Javier Milei",0.784,0.712,0.57
"P22","No sabe",0.089,0.079,0.089
"P23","Empleado sector publico",0.189,0.204,0.165
"P23","Empleado sector privado",0.24,0.266,0.29
"P23","Changas o trabajos eventuales",0.175,0.166,0.19
"P23","Estudiante",0.033,0.063,0.024
"P23","Amas de casa",0.076,0.055,0.062
"P23","Profesional o independiente",0.115,0.087,0.103
"P23","Comerciante, emprendedor o empresario",0.064,0.07,0.069
"P23","Trabajador informal",0.012,0.011,0.022
"P23","No tengo trabajo",0.096,0.078,0.075
"P24","Muy de acuerdo",0.178,0.182,0.227
"P24","De acuerdo",0.237,0.196,0.229
"P24","Ni de acuerdo ni en desacuerdo",0.335,0.342,0.308
"P24","En desacuerdo",0.113,0.129,0.14
"P24","Muy en desacuerdo",0.082,0.097,0.071
"P24","No sabe",0.055,0.054,0.025
"P25","Muy de acuerdo",0.102,0.082,0.112
"P25","De acuerdo",0.116,0.141,0.159
"P25","Ni de acuerdo ni en desacuerdo",0.206,0.214,0.205
"P25","En desacuerdo",0.431,0.36,0.394
"P25","Muy en desacuerdo",0.124,0.195,0.127
"P25","No sabe",0.021,0.008,0.003
"P26","Si",0.6,0.626,0.67
"P26","No",0.4,0.374,0.33
"P27","Muy de acuerdo",0.16,0.153,0.184
"P27","De acuerdo",0.209,0.147,0.248
"P27","Ni de acuerdo ni en desacuerdo",0.231,0.243,0.171
"P27","En desacuerdo",0.268,0.292,0.246
"P27","Muy en desacuerdo",0.104,0.15,0.149
"P27","No sabe",0.028,0.015,0.002
"P28","Si",0.646,0.672,0.622
"P28","No",0.354,0.328,0.378
"P29","Muy de acuerdo",0.161,0.206,0.201
"P29","De acuerdo",0.21,0.172,0.229
"P29","Ni de acuerdo ni en desacuerdo",0.223,0.193,0.206
"P29","En desacuerdo",0.263,0.26,0.232
"P29","Muy en desacuerdo",0.114,0.129,0.113
"P29","No sabe",0.029,0.04,0.019
"P30","No estaba enterado",0.306,0.245,0.273
"P30","De acuerdo",0.322,0.35,0.379
"P30","En desacuerdo",0.32,0.316,0.247
"P30","No sabe",0.052,0.089,0.101
"P33","1-Excelente",0.167,0.086,0.176
"P33","2",0.112,0.119,0.11
"P33","3",0.064,0.052,0.055
"P33","4",0.04,0.067,0.069
