"var","categoria","Gobierno nacional","Gobierno provincial","No sabe"
"P12","Gran excedente habitual",0.005,0.031,0.029
"P12","Gran excedente excepcional",0,0.002,0
"P12","Pequeño excedente habitual",0.012,0.051,0.051
"P12","Pequeño excedente excepcional",0.018,0.075,0.095
"P12","Alcanza gastos familia",0.094,0.161,0.071
"P12","No alcanza gastos familia",0.099,0.092,0.131
"P12","Solo NBFamiliares",0.259,0.289,0.219
"P12","No alcanza NBFamiliares",0.501,0.285,0.377
"P12","No sabe",0.012,0.014,0.027
"P13","Muy buena",0.184,0.03,0.066
"P13","Buena",0.253,0.103,0.207
"P13","Ni buena ni mala",0.319,0.222,0.44
"P13","Mala",0.158,0.391,0.154
"P13","Muy mala",0.07,0.242,0.06
"P13","No sabe",0.016,0.012,0.073
"P14","Muy buena",0.078,0.335,0.145
"P14","Buena",0.059,0.232,0.124
"P14","Ni buena ni mala",0.132,0.158,0.357
"P14","Mala",0.231,0.097,0.211
"P14","Muy mala",0.497,0.172,0.117
"P14","No sabe",0.003,0.006,0.046
"P19","Muy buena",0.207,0.043,0.077
"P19","Buena",0.278,0.128,0.201
"P19","Ni buena ni mala",0.302,0.291,0.462
"P19","Mala",0.119,0.3,0.112
"P19","Muy mala",0.086,0.221,0.075
"P19","No sabe",0.008,0.017,0.073
"P23","Empleado sector publico",0.249,0.189,0.102
"P23","Empleado sector privado",0.218,0.276,0.129
"P23","Changas o trabajos eventuales",0.182,0.2,0.389
"P23","Estudiante",0.054,0.047,0.055
"P23","Amas de casa",0.089,0.05,0.096
"P23","Profesional o independiente",0.059,0.109,0.06
"P23","Comerciante, emprendedor o empresario",0.031,0.063,0.041
"P23","Trabajador informal",0.023,0.014,0.016
"P23","No tengo trabajo",0.095,0.052,0.112
"P24","Muy de acuerdo",0.266,0.181,0.164
"P24","De acuerdo",0.221,0.218,0.145
"P24","Ni de acuerdo ni en desacuerdo",0.295,0.302,0.431
"P24","En desacuerdo",0.118,0.162,0.125
"P24","Muy en desacuerdo",0.044,0.104,0.039
"P24","No sabe",0.056,0.033,0.096
"P25","Muy de acuerdo",0.096,0.149,0.099
"P25","De acuerdo",0.032,0.22,0.088
"P25","Ni de acuerdo ni en desacuerdo",0.087,0.239,0.284
"P25","En desacuerdo",0.585,0.274,0.388
"P25","Muy en desacuerdo",0.193,0.101,0.11
"P25","No sabe",0.007,0.017,0.031
"P26","Si",0.62,0.681,0.39
"P26","No",0.38,0.319,0.61
"P27","Muy de acuerdo",0.13,0.211,0.123
"P27","De acuerdo",0.11,0.237,0.187
"P27","Ni de acuerdo ni en desacuerdo",0.133,0.258,0.289
"P27","En desacuerdo",0.424,0.187,0.243
"P27","Muy en desacuerdo",0.18,0.098,0.126
"P27","No sabe",0.023,0.009,0.032
"P28","Si",0.658,0.707,0.396
"P28","No",0.342,0.293,0.604
"P29","Muy de acuerdo",0.104,0.279,0.172
"P29","De acuerdo",0.084,0.289,0.168
"P29","Ni de acuerdo ni en desacuerdo",0.149,0.208,0.288
"P29","En desacuerdo",0.448,0.126,0.15
"P29","Muy en desacuerdo",0.177,0.076,0.172
"P29","No sabe",0.038,0.022,0.05
"P30","No estaba enterado",0.322,0.248,0.524
"P30","De acuerdo",0.092,0.513,0.173
"P30","En desacuerdo",0.519,0.17,0.168
"P30","No sabe",0.067,0.069,0.135
"P31","No tengo cable ni internet",0.203,0.176,0.375
"P31","Si tuve",0.564,0.567,0.415
"P31","No tuve",0.233,0.257,0.21
"P32","Reclamando directamente a la empresa",0.302,0.302,0.36
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.377,0.353,0.288
"P32","Nunca se pudo resolver",0.321,0.345,0.352
"P33","1-Excelente",0.192,0.164,0.151
"P33","2",0.119,0.094,0.169
"P33","3",0.063,0.056,0.038
"P33","4",0.069,0.042,0.043
"P33","5",0.172,0.138,0.19
"P33","6",0.074,0.04,0.056
"P33","7",0.048,0.039,0.021
"P33","8",0.074,0.086,0.035
"P33","9-Pésimo",0.143,0.296,0.152
"P33","No sabe",0.046,0.045,0.145
"P34","1-Excelente",0.184,0.168,0.14
"P34","2",0.093,0.1,0.168
"P34","3",0.11,0.055,0.082
"P34","4",0.104,0.057,0.034
"P34","5",0.13,0.116,0.169
"P34","6",0.054,0.022,0.063
"P34","7",0.035,0.036,0.021
"P34","8",0.057,0.063,0.041
"P34","9-Pésimo",0.188,0.345,0.153
"P34","No sabe",0.045,0.038,0.129
"P35","1-Excelente",0.149,0.162,0.201
"P35","2",0.088,0.099,0.123
"P35","3",0.116,0.067,0.105
"P35","4",0.118,0.066,0.056
"P35","5",0.143,0.117,0.149
"P35","6",0.086,0.032,0.068
"P35","7",0.037,0.043,0.019
"P35","8",0.046,0.059,0.018
"P35","9-Pésimo",0.164,0.321,0.144
"P35","No sabe",0.053,0.034,0.117
"P36","1-Excelente",0.166,0.124,0.145
"P36","2",0.152,0.119,0.109
