"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Inseguridad y narcotráfico",0.319,0.325,0.314,0.326,0.315,0.355,0.27,0.336,0.307,0.323,0.354,0.27,0.38,0.419,0.249,0.309,0.345,0.309
"Altos impuestos y tarifas",0.171,0.16,0.183,0.14,0.161,0.159,0.246,0.156,0.195,0.151,0.219,0.15,0.129,0.13,0.202,0.155,0.194,0.168
"Educación y estado de las escuelas",0.197,0.216,0.177,0.156,0.198,0.202,0.232,0.224,0.208,0.163,0.158,0.249,0.162,0.129,0.248,0.208,0.203,0.177
"Inflación",0.161,0.159,0.163,0.203,0.17,0.139,0.131,0.176,0.132,0.186,0.156,0.174,0.155,0.177,0.149,0.188,0.1,0.187
"Estado de la salud",0.08,0.074,0.086,0.117,0.083,0.071,0.048,0.035,0.088,0.105,0.062,0.086,0.095,0.092,0.078,0.066,0.087,0.091
"Corrupción",0.045,0.05,0.039,0.03,0.053,0.047,0.036,0.055,0.038,0.045,0.028,0.063,0.008,0.019,0.06,0.047,0.047,0.039
"Pobreza",0.013,0.008,0.018,0.022,0.009,0.008,0.019,0.006,0.018,0.011,0.003,0.006,0.056,0.021,0.008,0.016,0.004,0.017
"Medio ambiente, incendios y contaminación",0.003,0.001,0.005,0,0.003,0.005,0.001,0,0.003,0.005,0.004,0,0.009,0.005,0.002,0.001,0.006,0.003
"Falta de trabajo",0.006,0.004,0.008,0,0.002,0.014,0.007,0.007,0.005,0.007,0.009,0.002,0.006,0.006,0.004,0.008,0.004,0.005
"No sabe",0.005,0.003,0.007,0.006,0.006,0,0.01,0.005,0.006,0.004,0.007,0,0,0.002,0,0.002,0.01,0.004
