"var","categoria","Empleado sector publico","Empleado sector privado","Changas o trabajos eventuales","Estudiante","Amas de casa","Profesional o independiente","Comerciante, emprendedor o empresario","Trabajador informal","No tengo trabajo"
"P12","Gran excedente habitual",0.011,0.034,0.013,0.067,0.015,0.008,0.065,0,0.026
"P12","Gran excedente excepcional",0.002,0,0,0,0,0.002,0.003,0,0
"P12","Pequeño excedente habitual",0.04,0.032,0.024,0.098,0.053,0.083,0.064,0,0.009
"P12","Pequeño excedente excepcional",0.047,0.076,0.079,0.031,0.009,0.088,0.069,0.088,0.04
"P12","Alcanza gastos familia",0.163,0.13,0.081,0.085,0.095,0.251,0.162,0.061,0.036
"P12","No alcanza gastos familia",0.068,0.099,0.127,0.083,0.079,0.063,0.129,0.281,0.103
"P12","Solo NBFamiliares",0.295,0.354,0.174,0.158,0.234,0.343,0.351,0.244,0.195
"P12","No alcanza NBFamiliares",0.369,0.269,0.498,0.352,0.499,0.148,0.13,0.326,0.563
"P12","No sabe",0.005,0.006,0.004,0.126,0.016,0.014,0.027,0,0.028
"P13","Muy buena",0.121,0.054,0.064,0.133,0.143,0.044,0.058,0.042,0.122
"P13","Buena",0.161,0.24,0.153,0.112,0.153,0.118,0.157,0.099,0.154
"P13","Ni buena ni mala",0.242,0.276,0.347,0.291,0.397,0.257,0.265,0.522,0.256
"P13","Mala",0.313,0.232,0.283,0.225,0.196,0.377,0.408,0.105,0.183
"P13","Muy mala",0.152,0.179,0.13,0.18,0.085,0.168,0.112,0.159,0.214
"P13","No sabe",0.011,0.019,0.023,0.059,0.026,0.036,0,0.073,0.071
"P14","Muy buena",0.243,0.265,0.163,0.243,0.162,0.309,0.271,0.117,0.126
"P14","Buena",0.143,0.187,0.132,0.105,0.156,0.193,0.296,0.092,0.114
"P14","Ni buena ni mala",0.124,0.175,0.292,0.212,0.288,0.116,0.068,0.088,0.155
"P14","Mala",0.178,0.141,0.164,0.243,0.184,0.102,0.081,0.225,0.162
"P14","Muy mala",0.308,0.222,0.22,0.196,0.196,0.278,0.281,0.424,0.42
"P14","No sabe",0.004,0.01,0.029,0.001,0.014,0.002,0.003,0.054,0.023
"P19","Muy buena",0.169,0.057,0.079,0.116,0.156,0.053,0.067,0,0.135
"P19","Buena",0.205,0.228,0.182,0.046,0.192,0.136,0.175,0.097,0.181
"P19","Ni buena ni mala",0.245,0.319,0.358,0.424,0.385,0.379,0.344,0.576,0.294
"P19","Mala",0.188,0.213,0.202,0.151,0.18,0.303,0.292,0.253,0.148
"P19","Muy mala",0.188,0.165,0.142,0.247,0.056,0.115,0.067,0.019,0.206
"P19","No sabe",0.005,0.018,0.037,0.016,0.031,0.014,0.055,0.055,0.036
"P20","Gobierno nacional",0.389,0.282,0.229,0.313,0.37,0.207,0.187,0.404,0.362
"P20","Gobierno provincial",0.497,0.6,0.422,0.459,0.346,0.643,0.637,0.394,0.334
"P20","No sabe",0.114,0.118,0.349,0.228,0.284,0.15,0.176,0.202,0.304
"P21","El anterior gobierno de Arabela Carreras",0.404,0.275,0.383,0.273,0.273,0.293,0.496,0.482,0.358
"P21","El actual gobierno de Alberto Weretilneck",0.517,0.614,0.397,0.472,0.549,0.528,0.437,0.405,0.548
"P21","No sabe",0.079,0.111,0.22,0.255,0.178,0.179,0.067,0.113,0.094
"P22","El anterior gobierno de Alberto Fernández",0.377,0.214,0.151,0.359,0.402,0.25,0.273,0.474,0.212
"P22","El actual gobierno de Javier Milei",0.563,0.701,0.701,0.505,0.563,0.735,0.67,0.513,0.772
"P22","No sabe",0.06,0.085,0.148,0.136,0.035,0.015,0.057,0.013,0.016
"P24","Muy de acuerdo",0.317,0.195,0.19,0.179,0.167,0.129,0.134,0.176,0.166
"P24","De acuerdo",0.238,0.296,0.131,0.119,0.105,0.259,0.178,0.238,0.154
"P24","Ni de acuerdo ni en desacuerdo",0.2,0.294,0.45,0.264,0.308,0.353,0.395,0.367,0.332
"P24","En desacuerdo",0.142,0.121,0.153,0.108,0.188,0.11,0.169,0.129,0.166
"P24","Muy en desacuerdo",0.088,0.07,0.041,0.118,0.117,0.064,0.073,0.023,0.094
"P24","No sabe",0.015,0.024,0.035,0.212,0.115,0.085,0.051,0.067,0.088
"P25","Muy de acuerdo",0.212,0.106,0.116,0.158,0.081,0.102,0.08,0.019,0.081
"P25","De acuerdo",0.133,0.2,0.074,0.068,0.116,0.191,0.253,0.037,0.102
"P25","Ni de acuerdo ni en desacuerdo",0.156,0.193,0.265,0.18,0.225,0.243,0.159,0.157,0.17
"P25","En desacuerdo",0.355,0.368,0.416,0.374,0.404,0.319,0.361,0.702,0.459
"P25","Muy en desacuerdo",0.14,0.12,0.11,0.208,0.165,0.109,0.113,0.076,0.151
"P25","No sabe",0.004,0.013,0.019,0.012,0.009,0.036,0.034,0.009,0.037
"P26","Si",0.709,0.677,0.468,0.631,0.443,0.708,0.632,0.562,0.527
"P26","No",0.291,0.323,0.532,0.369,0.557,0.292,0.368,0.438,0.473
"P27","Muy de acuerdo",0.242,0.193,0.125,0.233,0.093,0.192,0.142,0.102,0.093
"P27","De acuerdo",0.206,0.2,0.189,0.121,0.209,0.175,0.216,0.085,0.164
"P27","Ni de acuerdo ni en desacuerdo",0.15,0.221,0.289,0.223,0.264,0.239,0.275,0.26,0.176
"P27","En desacuerdo",0.277,0.258,0.263,0.257,0.272,0.233,0.293,0.265,0.312
"P27","Muy en desacuerdo",0.121,0.115,0.123,0.069,0.127,0.159,0.067,0.191,0.218
"P27","No sabe",0.004,0.013,0.011,0.097,0.035,0.002,0.007,0.097,0.037
"P28","Si",0.801,0.652,0.459,0.619,0.385,0.769,0.729,0.582,0.623
"P28","No",0.199,0.348,0.541,0.381,0.615,0.231,0.271,0.418,0.377
"P29","Muy de acuerdo",0.232,0.224,0.212,0.202,0.121,0.214,0.263,0.131,0.132
"P29","De acuerdo",0.174,0.235,0.191,0.211,0.14,0.262,0.366,0.119,0.131
"P29","Ni de acuerdo ni en desacuerdo",0.184,0.203,0.241,0.227,0.29,0.17,0.118,0.312,0.176
"P29","En desacuerdo",0.267,0.2,0.241,0.057,0.235,0.186,0.185,0.143,0.32
"P29","Muy en desacuerdo",0.133,0.113,0.098,0.116,0.195,0.145,0.047,0.2,0.162
"P29","No sabe",0.01,0.025,0.017,0.187,0.019,0.023,0.021,0.095,0.079
"P30","No estaba enterado",0.302,0.3,0.448,0.298,0.454,0.193,0.113,0.345,0.294
"P30","De acuerdo",0.327,0.386,0.215,0.474,0.165,0.477,0.498,0.15,0.217
"P30","En desacuerdo",0.293,0.25,0.256,0.184,0.279,0.248,0.326,0.15,0.383
"P30","No sabe",0.078,0.064,0.081,0.044,0.102,0.082,0.063,0.355,0.106
"P31","No tengo cable ni internet",0.254,0.128,0.342,0.156,0.301,0.086,0.12,0.101,0.315
"P31","Si tuve",0.514,0.614,0.443,0.53,0.46,0.601,0.67,0.707,0.499
"P31","No tuve",0.232,0.258,0.215,0.314,0.239,0.313,0.21,0.192,0.186
"P32","Reclamando directamente a la empresa",0.316,0.281,0.308,0.255,0.369,0.354,0.291,0.24,0.362
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.384,0.35,0.329,0.543,0.303,0.302,0.364,0.26,0.332
"P32","Nunca se pudo resolver",0.3,0.369,0.363,0.202,0.328,0.344,0.345,0.5,0.306
"P33","1-Excelente",0.129,0.142,0.189,0.089,0.312,0.144,0.174,0.011,0.251
"P33","2",0.108,0.13,0.147,0,0.089,0.077,0.107,0.031,0.14
"P33","3",0.054,0.054,0.04,0.031,0.045,0.127,0.043,0.055,0.042
