"var","categoria","Si","No","No sabe"
"P10","Siempre",0.249,0.17,0.127
"P10","Casi siempre",0.277,0.328,0.28
"P10","Casi nunca",0.293,0.372,0.32
"P10","Nunca, pero esta es una excepción",0.181,0.13,0.273
"P11","Si",0.562,0.179,0.265
"P11","No",0.261,0.719,0.322
"P11","No sabe",0.177,0.102,0.413
"P12","Javier Milei",0.641,0.271,0.483
"P12","Mauricio Macri",0.196,0.518,0.202
"P12","Ambos",0.105,0.149,0.148
"P12","No sabe",0.058,0.062,0.167
"P13","Si",0.737,0.18,0.433
"P13","No",0.22,0.789,0.372
"P13","No sabe",0.043,0.031,0.195
"P14","Florencio Randazzo",0.307,0.303,0.284
"P14","Cristian Ritondo",0.334,0.224,0.154
"P14","Algun diputado del bloque de Milei",0.281,0.12,0.22
"P14","No sabe",0.078,0.353,0.342
"P15","Si",0.743,0.257,0.504
"P15","No",0.187,0.696,0.383
"P15","No sabe",0.07,0.047,0.113
"P16","Si",0.471,0.638,0.548
"P16","No",0.461,0.226,0.239
"P16","No sabe",0.068,0.136,0.213
"P17","Si",0.467,0.522,0.437
"P17","No",0.468,0.387,0.35
"P17","No sabe",0.065,0.091,0.213
"P18","Los cargos públicos",0.565,0.373,0.37
"P18","El empleo público",0.154,0.21,0.115
"P18","Los planes sociales",0.17,0.101,0.267
"P18","Las tarifas de los servicios públicos",0.058,0.064,0.081
"P18","No sabe",0.053,0.252,0.167
"P20","Si",0.82,0.282,0.495
"P20","No",0.138,0.668,0.222
"P20","No sabe",0.042,0.05,0.283
"P21","Inflación",0.275,0.363,0.304
"P21","Desempleo",0.12,0.105,0.068
"P21","Corrupción",0.432,0.195,0.316
"P21","Inseguridad",0.104,0.139,0.153
"P21","Precio del dólar",0.003,0.029,0.009
"P21","Pobreza",0.028,0.072,0.049
"P21","Narcotráfico",0.011,0.014,0.015
"P21","Tarifas",0.005,0.013,0.008
"P21","Otro",0.022,0.065,0.034
"P21","No sabe",0,0.005,0.044
"P25","Sin deuda",0.352,0.341,0.324
"P25","Menos de 10%",0.18,0.182,0.178
"P25","Entre 10 y 20%",0.133,0.123,0.138
"P25","Entre 20 y 30%",0.087,0.113,0.08
"P25","Entre 30 y 40%",0.081,0.075,0.082
"P25","Mas del 40%",0.115,0.136,0.121
"P25","No sabe",0.052,0.03,0.077
"P26","Gran excedente habitual",0.023,0.002,0
"P26","Gran excedente excepcional",0.006,0.011,0.012
"P26","Pequeño excedente habitual",0.06,0.041,0.019
"P26","Pequeño excedente excepcional",0.045,0.056,0.039
"P26","Alcanza gastos familia",0.129,0.15,0.128
"P26","No alcanza gastos familia",0.121,0.099,0.149
"P26","Solo NBFamiliares",0.286,0.297,0.331
"P26","No alcanza NBFamiliares",0.31,0.331,0.312
"P26","No sabe",0.02,0.013,0.01
