"var","categoria","Florencio Randazzo","Cristian Ritondo","Algun diputado del bloque de Milei","No sabe"
"P10","Siempre",0.188,0.244,0.142,0.172
"P10","Casi siempre",0.334,0.33,0.277,0.235
"P10","Casi nunca",0.342,0.313,0.274,0.384
"P10","Nunca, pero esta es una excepción",0.136,0.113,0.307,0.209
"P11","Si",0.296,0.508,0.423,0.133
"P11","No",0.513,0.322,0.346,0.641
"P11","No sabe",0.191,0.17,0.231,0.226
"P12","Javier Milei",0.423,0.558,0.64,0.205
"P12","Mauricio Macri",0.374,0.259,0.161,0.479
"P12","Ambos",0.118,0.131,0.14,0.162
"P12","No sabe",0.085,0.052,0.059,0.154
"P13","Si",0.437,0.54,0.594,0.202
"P13","No",0.503,0.402,0.309,0.688
"P13","No sabe",0.06,0.058,0.097,0.11
"P15","Si",0.576,0.588,0.544,0.233
"P15","No",0.38,0.393,0.276,0.686
"P15","No sabe",0.044,0.019,0.18,0.081
"P16","Si",0.646,0.402,0.592,0.572
"P16","No",0.255,0.545,0.291,0.164
"P16","No sabe",0.099,0.053,0.117,0.264
"P17","Si",0.574,0.416,0.476,0.466
"P17","No",0.344,0.497,0.412,0.354
"P17","No sabe",0.082,0.087,0.112,0.18
"P18","Los cargos públicos",0.512,0.487,0.451,0.297
"P18","El empleo público",0.156,0.226,0.172,0.114
"P18","Los planes sociales",0.149,0.171,0.187,0.17
"P18","Las tarifas de los servicios públicos",0.062,0.046,0.059,0.095
"P18","No sabe",0.121,0.07,0.131,0.324
"P19","Si",0.349,0.466,0.481,0.104
"P19","No",0.42,0.38,0.25,0.571
"P19","No sabe",0.231,0.154,0.269,0.325
"P20","Si",0.52,0.618,0.673,0.294
"P20","No",0.369,0.314,0.238,0.562
"P20","No sabe",0.111,0.068,0.089,0.144
"P21","Inflación",0.309,0.334,0.332,0.305
"P21","Desempleo",0.062,0.096,0.141,0.123
"P21","Corrupción",0.323,0.341,0.305,0.255
"P21","Inseguridad",0.175,0.132,0.117,0.085
"P21","Precio del dólar",0.014,0.007,0.012,0.026
"P21","Pobreza",0.059,0.035,0.056,0.054
"P21","Narcotráfico",0.012,0.016,0,0.02
"P21","Tarifas",0.01,0.007,0.001,0.016
"P21","Otro",0.027,0.032,0.036,0.077
"P21","No sabe",0.009,0,0,0.039
"P25","Sin deuda",0.332,0.361,0.297,0.367
"P25","Menos de 10%",0.151,0.241,0.205,0.14
"P25","Entre 10 y 20%",0.132,0.139,0.11,0.134
"P25","Entre 20 y 30%",0.111,0.093,0.093,0.084
"P25","Entre 30 y 40%",0.087,0.07,0.091,0.068
"P25","Mas del 40%",0.158,0.056,0.13,0.146
"P25","No sabe",0.029,0.04,0.074,0.061
"P26","Gran excedente habitual",0.021,0.001,0.012,0
"P26","Gran excedente excepcional",0.017,0.001,0.017,0.004
"P26","Pequeño excedente habitual",0.062,0.027,0.051,0.028
"P26","Pequeño excedente excepcional",0.054,0.048,0.021,0.062
"P26","Alcanza gastos familia",0.143,0.119,0.134,0.152
"P26","No alcanza gastos familia",0.12,0.129,0.074,0.14
"P26","Solo NBFamiliares",0.237,0.388,0.323,0.276
"P26","No alcanza NBFamiliares",0.337,0.268,0.355,0.32
"P26","No sabe",0.009,0.019,0.013,0.018
"P27","Muy buena",0.075,0.051,0.057,0.017
"P27","Buena",0.155,0.205,0.166,0.192
"P27","Ni buena ni mala",0.422,0.479,0.407,0.435
"P27","Mala",0.256,0.201,0.291,0.292
"P27","Muy mala",0.079,0.059,0.079,0.056
"P27","No sabe",0.013,0.005,0,0.008
"P28","Mejor",0.059,0.083,0.095,0.097
"P28","Igual",0.263,0.275,0.214,0.349
"P28","Peor",0.625,0.609,0.651,0.504
"P28","No sabe",0.053,0.033,0.04,0.05
"P29","Mejor",0.099,0.217,0.313,0.056
"P29","Igual",0.27,0.293,0.254,0.136
"P29","Peor",0.476,0.365,0.295,0.57
"P29","No sabe",0.155,0.125,0.138,0.238
"P30","Muy buena",0.097,0.043,0.094,0.032
"P30","Buena",0.101,0.104,0.018,0.062
"P30","Ni buena ni mala",0.191,0.222,0.173,0.232
"P30","Mala",0.401,0.321,0.36,0.444
"P30","Muy mala",0.196,0.307,0.347,0.214
"P30","No sabe",0.014,0.003,0.008,0.016
"P31","Mejor",0.026,0.06,0.034,0.066
"P31","Igual",0.173,0.145,0.141,0.269
"P31","Peor",0.745,0.758,0.773,0.576
"P31","No sabe",0.056,0.037,0.052,0.089
"P32","Mejor",0.123,0.227,0.304,0.066
"P32","Igual",0.219,0.25,0.25,0.092
"P32","Peor",0.513,0.421,0.32,0.679
"P32","No sabe",0.145,0.102,0.126,0.163
"P33","Muy buena",0.087,0.056,0.079,0.068
"P33","Buena",0.168,0.091,0.099,0.175
"P33","Ni buena ni mala",0.254,0.26,0.257,0.294
"P33","Mala",0.266,0.217,0.191,0.286
"P33","Muy mala",0.214,0.369,0.32,0.144
"P33","No sabe",0.011,0.007,0.054,0.033
"P34","Muy buena",0.261,0.083,0.167,0.333
"P34","Buena",0.181,0.121,0.134,0.125
"P34","Ni buena ni mala",0.22,0.216,0.116,0.22
"P34","Mala",0.169,0.211,0.213,0.164
"P34","Muy mala",0.148,0.352,0.288,0.116
"P34","No sabe",0.021,0.017,0.082,0.042
"P35","Muy buena",0.101,0.082,0.045,0.076
"P35","Buena",0.121,0.075,0.132,0.147
