"var","categoria","Javier Milei","Mauricio Macri","Ambos","No sabe"
"P10","Siempre",0.178,0.195,0.249,0.146
"P10","Casi siempre",0.298,0.315,0.192,0.293
"P10","Casi nunca",0.306,0.351,0.396,0.311
"P10","Nunca, pero esta es una excepción",0.218,0.139,0.163,0.25
"P11","Si",0.558,0.081,0.238,0.165
"P11","No",0.2,0.841,0.44,0.432
"P11","No sabe",0.242,0.078,0.322,0.403
"P13","Si",0.757,0.104,0.327,0.168
"P13","No",0.171,0.871,0.5,0.619
"P13","No sabe",0.072,0.025,0.173,0.213
"P14","Florencio Randazzo",0.281,0.326,0.249,0.271
"P14","Cristian Ritondo",0.305,0.185,0.229,0.137
"P14","Algun diputado del bloque de Milei",0.285,0.094,0.198,0.126
"P14","No sabe",0.129,0.395,0.324,0.466
"P15","Si",0.733,0.186,0.447,0.378
"P15","No",0.201,0.762,0.438,0.487
"P15","No sabe",0.066,0.052,0.115,0.135
"P16","Si",0.47,0.641,0.599,0.609
"P16","No",0.428,0.231,0.232,0.121
"P16","No sabe",0.102,0.128,0.169,0.27
"P17","Si",0.416,0.581,0.582,0.345
"P17","No",0.467,0.358,0.302,0.345
"P17","No sabe",0.117,0.061,0.116,0.31
"P18","Los cargos públicos",0.487,0.432,0.365,0.334
"P18","El empleo público",0.212,0.114,0.162,0.135
"P18","Los planes sociales",0.187,0.107,0.222,0.212
"P18","Las tarifas de los servicios públicos",0.044,0.081,0.079,0.101
"P18","No sabe",0.07,0.266,0.172,0.218
"P19","Si",0.487,0.201,0.269,0.229
"P19","No",0.251,0.65,0.462,0.298
"P19","No sabe",0.262,0.149,0.269,0.473
"P20","Si",0.771,0.226,0.443,0.438
"P20","No",0.162,0.69,0.388,0.292
"P20","No sabe",0.067,0.084,0.169,0.27
"P21","Inflación",0.347,0.328,0.239,0.251
"P21","Desempleo",0.058,0.124,0.124,0.203
"P21","Corrupción",0.392,0.212,0.306,0.226
"P21","Inseguridad",0.123,0.133,0.122,0.171
"P21","Precio del dólar",0.002,0.043,0,0
"P21","Pobreza",0.028,0.077,0.069,0.049
"P21","Narcotráfico",0.009,0.018,0.015,0.007
"P21","Tarifas",0.007,0.012,0.011,0.006
"P21","Otro",0.022,0.045,0.114,0.037
"P21","No sabe",0.012,0.008,0,0.05
"P25","Sin deuda",0.339,0.349,0.319,0.354
"P25","Menos de 10%",0.226,0.184,0.079,0.083
"P25","Entre 10 y 20%",0.125,0.115,0.163,0.165
"P25","Entre 20 y 30%",0.119,0.076,0.087,0.073
"P25","Entre 30 y 40%",0.056,0.108,0.052,0.122
"P25","Mas del 40%",0.097,0.136,0.197,0.118
"P25","No sabe",0.038,0.032,0.103,0.085
"P26","Gran excedente habitual",0.003,0.022,0,0
"P26","Gran excedente excepcional",0.004,0.011,0.033,0
"P26","Pequeño excedente habitual",0.031,0.052,0.067,0.029
"P26","Pequeño excedente excepcional",0.032,0.087,0.032,0.007
"P26","Alcanza gastos familia",0.148,0.147,0.122,0.073
"P26","No alcanza gastos familia",0.125,0.106,0.107,0.149
"P26","Solo NBFamiliares",0.336,0.283,0.238,0.28
"P26","No alcanza NBFamiliares",0.302,0.29,0.367,0.45
"P26","No sabe",0.019,0.002,0.034,0.012
"P27","Muy buena",0.032,0.08,0.073,0.007
"P27","Buena",0.176,0.23,0.119,0.088
"P27","Ni buena ni mala",0.456,0.427,0.385,0.441
"P27","Mala",0.268,0.224,0.208,0.418
"P27","Muy mala",0.063,0.031,0.201,0.045
"P27","No sabe",0.005,0.008,0.014,0.001
"P28","Mejor",0.065,0.115,0.064,0.063
"P28","Igual",0.175,0.436,0.257,0.236
"P28","Peor",0.709,0.395,0.659,0.685
"P28","No sabe",0.051,0.054,0.02,0.016
"P29","Mejor",0.262,0.049,0.19,0.021
"P29","Igual",0.329,0.122,0.207,0.275
"P29","Peor",0.249,0.714,0.413,0.362
"P29","No sabe",0.16,0.115,0.19,0.342
"P30","Muy buena",0.058,0.096,0.052,0.027
"P30","Buena",0.074,0.094,0.051,0.054
"P30","Ni buena ni mala",0.146,0.28,0.17,0.276
"P30","Mala",0.33,0.406,0.486,0.416
"P30","Muy mala",0.381,0.121,0.224,0.2
"P30","No sabe",0.011,0.003,0.017,0.027
"P31","Mejor",0.026,0.072,0.016,0.092
"P31","Igual",0.085,0.307,0.209,0.166
"P31","Peor",0.843,0.548,0.704,0.696
"P31","No sabe",0.046,0.073,0.071,0.046
